ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
20	2	Mol ljestvica zvuči:	Veselo	Tužno ili melankolično	Zastrašujuće	Glasno	1	a-mol: A H C D E F G A.
21	2	Musical je:	Samo opera	Kazališna forma koja spaja glumu, pjevanje i ples	Samo drama	Samo balet	1	West Side Story, Cats, Phantom of the Opera.
22	2	Opera je:	Samo instrumentalna	Glazbeno-scensko djelo s pjevanjem, orkestrom i glumom	Samo rock koncert	Samo balet	1	Verdi, Puccini, Mozart — talijanska tradicija.
23	2	Balet je:	Samo drama	Scenski ples uz instrumentalenu glazbu	Samo opera	Samo koncert	1	Čajkovski: Labuđe jezero, Orašar.
24	2	Arija u operi je:	Zborska dionica	Solistička pjesma koja izražava osjećaje lika	Orkestarski uvod	Završni komad	1	Npr. La donna è mobile (Verdi, Rigoletto).
25	2	Uvertira je:	Završni komad	Instrumentalni uvod u operu, musical ili balet	Solo za violinu	Zbor	1	Postavlja tonski ugođaj djela.
26	1	Simfonijski orkestar podijeljen je na:	Dva dijela	Gudače, puhače (drvene i limene), udaralke	Samo gudače	Samo puhače	1	Ponekad i harfa, klavir i sl.
27	1	Violina je:	Limeni puhački instrument	Gudački instrument najvišeg registra u orkestru	Udaraljka	Drveni puhač	1	Stradivari — najpoznatij graditelj violina.
28	1	Violončelo je:	Mali gudački instrument	Veliki gudački instrument dubokog toplog zvuka	Puhački instrument	Udaraljka	1	Svira se sjedeći — dublje od viole.
29	1	Flauta je:	Gudački instrument	Drveni puhački instrument visokog zvuka	Limeni instrument	Udaraljka	1	Najstariji poznati instrument.
30	1	Truba je:	Gudački instrument	Drveni puhač	Limeni puhački instrument	Udaraljka	2	Sjajan, prodoran zvuk.
31	2	Hip-hop/rap glazba nastala je u:	Europi	SAD-u (New York, 1970-ih)	Japanu	Africi	1	DJ Kool Herc, Grandmaster Flash.
32	2	Elektronička glazba koristi:	Samo akustičke instrumente	Sintesajzere, računala i elektroničke uređaje	Samo glas	Samo gudače	1	Kraftwerk, Daft Punk, Skrillex.
33	2	DJ je osoba koja:	Samo pjeva	Pušta i miješa glazbu koristeći gramofone ili digitalnu opremu	Samo svira gitaru	Samo dirigira	1	Disc jockey — turntablism.
34	2	Tehno (techno) kao žanr nastao je u:	Londonu	Detroitu (SAD)	Berlinu	Tokiju	1	Juan Atkins, Derrick May, Kevin Saunderson.
35	2	Reggae glazba potječe s:	Kube	Jamajke	Haitija	Trinidada	1	Bob Marley — legenda reggae glazbe.
36	2	R&B (Rhythm and Blues) je:	Samo instrumentalna glazba	Žanr koji spaja soul, funk i pop s ritmičkom osnovom	Samo rock	Samo jazz	1	Aretha Franklin, Whitney Houston, Beyoncé.
37	1	Dirigent orkestra:	Samo svira	Vodi izvedbu orkestra pokretima i gestama	Samo pjeva	Samo piše note	1	Koristi dirigentsku palicu — oblikuje zvuk.
38	1	Komorni sastav je:	Veliki orkestar	Mali ansambl (duo, trio, kvartet)	Solo pjevač	Samo udaraljke	1	Gudački kvartet, klavirski trio.
39	1	Gudački kvartet čine:	4 violine	2 violine, viola, violončelo	Violina, viola, čelo, kontrabas	4 viole	1	Klasični komorni sastav od Haydna.
40	1	Notno pismo služi za:	Samo ukrašavanjeac	Bilježenje glazbe kako bi se mogla reproducirati	Samo za matematiku	Samo za pisanje	1	Univerzalni glazbeni jezik.
41	1	Violinski ključ (G-ključ) se koristi za:	Basove	Više tonove (desna ruka na klaviru)	Samo udaraljke	Samo puhačke	1	Najčešće korišteni ključ.
42	1	Basov ključ (F-ključ) se koristi za:	Više tonove	Niže tonove (lijeva ruka na klaviru)	Samo pjevanje	Samo viole	1	Za bas, violončelo, kontrabas.
43	1	Cijela nota traje:	1 dobu	2 dobe	3 dobe	4 dobe	3	U 4/4 mjeri — najdulja osnovna nota.
44	1	Polovinka traje:	1 dobu	2 dobe	3 dobe	4 dobe	1	Pola cijele note.
45	1	Četvrtinka traje:	1 dobu	2 dobe	3 dobe	4 dobe	0	Osnovna jedinica dobe u 4/4 mjeri.
46	1	Osminka traje:	1 dobu	1/2 dobe	2 dobe	1/4 dobe	1	Osam osminki = cijela nota.
47	2	Heavy metal je:	Mekani žanri	Podžanr rocka s pojačanim distorzijama, glasnom svirkom	Samo elektronika	Samo jazz	1	Black Sabbath, Iron Maiden, Metallica.
48	2	Punk rock je nastao u:	1950-ima	Sredinom 1970-ih	1990-ima	2000-ima	1	Ramones, Sex Pistols, The Clash.
49	2	Grunge je:	Vrsta jazza	Podžanr alternativnog rocka nastao u Seattleu 1990-ih	Vrsta klasike	Vrsta reggaea	1	Nirvana, Pearl Jam, Soundgarden.
50	2	K-pop je:	Japanska glazba	Korejska popularna glazba	Kineska glazba	Indijska glazba	1	BTS, BLACKPINK — globalni fenomen.
51	1	Koje su hrvatske tradicionalne glazbene regije?	Samo gradska glazba	Slavonija, Međimursko-zagorska, Jadranska (dalmatinska), Istra	Samo Dalmacija	Samo Zagreb	1	Svaka regija ima prepoznatljiv glazbeni izraz.
52	1	Klapa je:	Solo pjevanje	Dalmatinsko višeglasno muško ili žensko pjevanje	Instrumentalni sastav	Samo u Slavoniji	1	Nematerijalna kulturna baština — UNESCO.
53	1	Tamburica je:	Puhački instrument	Gudalo instrument	Žičani instrument tipičan za Slavoniju	Udaraljka	2	Bisernica, brač, čelović, bugarija, bas.
54	1	Gusle su:	Drveni puhač	Jednožičani gudački instrument epske tradicije	Udaraljka	Limeni puhač	1	Prate recitiranje junačkih epova.
55	1	Lijepa naša domovino napisao je:	Vatroslav Lisinski	Antun Mihanović (tekst), Josip Runjanin (melodija)	Ivan Zajc	Jakov Gotovac	1	Hrvatska himna.
56	1	Vatroslav Lisinski napisao je:	Nikola Šubić Zrinski	Ljubav i zloba (prva hrvatska opera)	Ero s onoga svijeta	Porin	1	Praizvedba 1846.
57	1	Ivan Zajc napisao je operu:	Ljubav i zloba	Nikola Šubić Zrinski	Ero s onoga svijeta	Porin	1	U boj, u boj! — najpoznatija hrvatska opereta arija.
58	1	Jakov Gotovac napisao je:	Nikola Šubić Zrinski	Ljubav i zloba	Ero s onoga svijeta	Porin	2	Humoristična opera — slavonski ugođaj.
59	2	Ludwig van Beethoven je:	Barokni kompozitor	Klasični/romantički skladatel — 9 simfonija	Moderni kompozitor	Jazz glazbenik	1	Oda radosti (9. simfonija) — himna EU.
60	2	W.A. Mozart je:	Romantički kompozitor	Klasični skladabel  — čudo od djeteta	Barokni kompozitor	Suvremeni kompozitor	1	Čarobna frula, requiem, simfonije.
61	2	J.S. Bach je:	Klasični kompozitor	Barokni kompozitor — majstor polifonije	Romantički kompozitor	Suvremeni	1	Toccata i fuga u d-molu, Brandenburški koncerti.
62	2	Frédéric Chopin je:	Barokni	Romantični skladabel posebno poznat po djelima za klavir	Jazz glazbenik	Rock glazbenik	1	Balada, nocturno, poloneza, etida.
63	2	P.I. Čajkovski je:	Barokni	Ruski romantički skladatel	Jazz glazbenik	Pop glazbenik	1	Labuđe jezero, Orašar, 1812. uvertira.
64	2	Antonio Vivaldi poznat je po:	Simfoniji	Četiri godišnja doba (Le quattro stagioni)	Operi	Jazzu	1	Venecijanski svećenik i skladatel baroka.
65	2	Polifonija je:	Jednoglasje	Višeglasje — više melodijskih linija istovremeno	Samo ritam	Samo dinamika	1	Bach — majstor polifone glazbe (fuge).
66	2	Homofonija je:	Višeglasje jednakih linija	Jedna melodija s harmoničkom pratnjom	Samo ritam	Samo unisono	1	Najprisutnij glazbeni slog u pop glazbi.
67	2	Fuga je:	Samo ples	Polifonska forma u kojoj se tema imitira u raznim glasovima	Samo pjesma	Samo marš	1	Bach: Dobro temperirani klavir.
68	1	Mjera 4/4 znači:	4 šesnaestinke u taktu	4 četvrtinke u taktu	4 osminke u taktu	4 polovinke u taktu	1	Najčešća mjera u pop i rock glazbi.
69	1	Mjera 3/4 koristi se u:	Rock glazbi	Valceru (ples u trodijelnoj mjeri)	Hip-hopu	Techno glazbi	1	Strauss — Lijepi plavi Dunav.
70	1	Sinkopa je:	Naglasak na jakoj dobi	Premještanje naglaska na slabu dobu	Tišina	Samo u klasici	1	Čest ritamski efekt u jazzu i pop glazbi.
71	2	Filmska glazba služi za:	Samo pozadinski šum	Stvaranje ugođaja, naglašavanje emocija i radnje filma	Samo uvod	Samo odjavnu špicu	1	John Williams, Hans Zimmer, Ennio Morricone.
72	2	John Williams skladao je glazbu za:	Samo TV serije	Star Wars, Jurski park, Harry Potter, Indiana Jones	Samo reklame	Samo kazalište	1	Jedan od najuspješnijih filmskih skladatelja.
73	2	Hans Zimmer je skladao glazbu za:	Samo videoigre	Inception, Interstellar, The Dark Knight, Gladijator	Samo TV serije	Samo reklame	1	Prepoznatljiv po epskim orkestracijama.
74	1	Akord je:	Jedan ton	Istovremeno zvučanje triju ili više tonova	Dva tona	Samo ritam	1	Trozvuk, četverozvuk, septakord.
75	1	Durski trozvuk zvuči:	Tužno	Veselo i otvoreno	Zastrašujuće	Napeto	1	Velika terca + mala terca.
76	1	Molski trozvuk zvuči:	Veselo	Tužno ili melankolično	Glasno	Brzo	1	Mala terca + velika terca.
77	2	World music je:	Samo zapadna glazba	Glazba iz raznih kultura svijeta	Samo klasika	Samo jazz	1	Spaj tradicionalnih i suvremenih utjecaja.
78	2	Gospel glazba nastala je u:	Europi	Afroameričkim crkvenim zajednicama u SAD-u	Japanu	Brazilu	1	Duhovne pjesme — temelj za soul i R&B.
79	2	Samba je:	Afrički ples	Brazilski ples i glazbeni žanr	Kubanski ples	Argentinski ples	1	Karneval u Rio de Janeiru.
80	2	Tango je:	Brazilski	Argentinski ples i glazbeni žanr	Kubanski	Meksički	1	Buenos Aires — bandoneon, strast.
81	1	Intervali u glazbi:	Odnos boja	Razmak između dva tona	Samo akordi	Samo ritam	1	Prima, sekunda, terca, kvarta, kvinta, seksta, septima, oktava.
82	1	Oktava je interval od:	5 tonova	6 tonova	8 tonova (isti ton, viši/niži registar)	10 tonova	2	C do C1 = oktava.
83	1	Unisono znači:	Različite melodije	Istovremeno pjevanje/sviranje istog tona	Samo tišina	Samo akordi	1	Svi pjevaju istu melodiju.
84	2	Sampling u glazbi je:	Samo snimanje	Korištenje isječaka postojećih snimki u novoj glazbi	Samo miks	Samo pjevanje	1	Čest u hip-hopu i elektroničkoj glazbi.
85	2	Streaming glazbe znači:	Kupnja CD-a	Slušanje glazbe preko interneta u realnom vremenu	Samo radio	Samo vinil	1	Spotify, Apple Music, YouTube Music.
86	1	Soprano je:	Najniži ženski glas	Najviši ženski glas	Muški glas	Srednji glas	1	Sopran, mezzosopran, alt.
87	1	Tenor je:	Najniži muški glas	Viši muški glas	Ženski glas	Dječji glas	1	Tenor, bariton, bas.
88	1	Bas je:	Najviši muški glas	Najniži muški glas	Ženski glas	Dječji glas	1	Najdublje pjevačko glasovlje.
89	2	Rap u hip-hopu:	Samo instrumentalno	Ritmičko izgovaranje teksta nad ritmičkom podlogom	Samo pjevanje	Samo sviranje	1	MC — master of ceremonies.
90	2	Beatbox je:	Bubnjanje	Oponašanje udaralki i zvukova ustima	Sviranje gitare	Puhanje u trubu	1	Vokalna imitacija ritam sekcije.
91	1	Staccato znači:	Produženo sviranje	Kratko, odrezano sviranje/pjevanje	Glasno	Tiho	1	Točkica ispod/iznad note.
92	1	Legato znači:	Kratko, odrezano	Glatko, povezano sviranje/pjevanje	Glasno	Tiho	1	Lukovi iznad nota.
93	2	Atonalnost u glazbi:	Ima jasni tonalitet	Nema jasnog tonalnog centra	Samo dur	Samo mol	1	Schönberg — dodekafonija (12-tonska tehnika).
94	2	Minimalizam u glazbi karakterizira:	Kompleksna orkestracija	Ponavljanje jednostavnih uzoraka s postepenim promjenama	Samo tišina	Samo buka	1	Steve Reich, Philip Glass, Terry Riley.
95	2	A cappella znači:	Samo instrumentalno	Pjevanje bez instrumentalne pratnje	Samo sa klavirom	Samo sa gitarom	1	Pentatonix — popularni a cappella sastav.
96	2	Glazbeni festival služi:	Samo za zaradu	Za promociju glazbe, kulture i zajedništva	Samo za natjecanje	Samo za prodaju	1	InMusic (Zagreb), Ultra (Split), Glastonbury.
97	1	Gitara je:	Puhački instrument	Žičani instrument (akustička ili električna)	Udaraljka	Samo klasični instrument	1	Najpopularniji instrument u rock i pop glazbi.
98	1	Bubnjevi u bendu:	Samo pratnja	Drže ritam i puls glazbe	Samo zvučni efekti	Samo u klasici	1	Snare, bass drum, hi-hat, tomovi, činele.
99	1	Klavir ima:	66 tipki	88 tipki	76 tipki	100 tipki	1	52 bijele + 36 crnih = 88 tipki.
100	2	Glazbena kultura pomaže:	Samo za zabavu	Razviti sluh, osjećaj za ritam, kreativnost i kulturu	Samo za ocjene	Nema koristi	1	Glazba obogaćuje svakodnevni život!
