ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
134	2	Srednja vrijednost brojeva 3, 7, 11, 15 je:	36	7	9	8	2	(3+7+11+15) / 4 = 36 / 4 = 9.
135	2	Medijan niza 2, 5, 7, 9, 12 je:	5	9	7	6	2	Srednji član poredanog niza od 5 elemenata.
136	1	Riješi nejednadžbu: -3x + 6 > 0.	x > 2	x < -2	x > -2	x < 2	3	-3x > -6, dijelimo s -3 i okrenemo znak: x < 2.
137	1	Koliko je log base 10 od 1000?	10	100	3	30	2	10^3 = 1000, dakle log = 3.
138	2	Rastavi na faktore: 3x^2 - 12.	3(x+2)(x-2)	3(x-4)(x+1)	(3x+6)(x-2)	3(x^2 - 4)	0	3(x^2 - 4) = 3(x+2)(x-2).
139	2	Koji je oblik jednadžbe pravca kroz dvije točke?	y = kx	y = ax^2	(y-y1) / (y2-y1) = (x-x1) / (x2-x1)	y = k + x	2	Jednadžba pravca kroz dvije točke koristi proporciju.
140	2	Koliki je obodni kut koji stoji nad promjerom?	45°	90°	180°	60°	1	Talesov poučak: kut upisan u polukrug je pravi.
141	1	Koliko je 25^(1 / 2)?	12,5	5	625	50	1	25^(1 / 2) = korijen iz 25 = 5.
142	1	Skup R \ Q sadrži:	Samo nulu	Prirodne brojeve	Iracionalne brojeve	Cijele brojeve	2	Realni minus racionalni = iracionalni.
143	2	Koliko je volumen stošca r = 3 cm, h = 4 cm?	36 pi cm^3	12 pi cm^3	9 pi cm^3	24 pi cm^3	1	V = 1 / 3 * 9 * pi * 4 = 12 pi cm^3.
144	2	Eulerova formula za poliedre: V - B + S = ?	0	1	2	3	2	Vrhovi - Bridovi + Strane = 2.
145	1	Koliko je korijen iz (1 / 4)?	1 / 4	1 / 2	2	1 / 8	1	(1 / 2)^2 = 1 / 4.
146	1	Riješi: /2x - 6/ = 10.	x = 8 ili x = -2	x = 3	x = 8	x = 5 ili x = -5	0	2x - 6 = 10 daje x = 8; 2x - 6 = -10 daje x = -2.
147	2	Nagib pravca koji prolazi kroz (0,0) i (4,8) je:	1 / 2	4	2	8	2	k = (8-0) / (4-0) = 2.
148	2	Formula za obujam pravokutnog spremnika a × b × c je:	2(ab + bc + ac)	a * b * c	a + b + c	a^2 + b^2 + c^2	1	Volumen kvadra = duljina * širina * visina.
149	1	Ako je x^2 = 0, tada je x:	1	-1	0	Nedefinirano	2	Jedini broj čiji je kvadrat 0 je sam 0.
150	2	Koliko vrhova ima oktaedar?	4	6	8	12	1	Oktaedar ima 6 vrhova, 12 bridova i 8 strana.
151	1	Koliko je korijen iz 576?	22	23	24	25	2	24 * 24 = 576.
152	1	Što znači N₀?	Negativni prirodni brojevi	Skup nula	Prirodni brojevi s nulom {0,1,2,...}	Realni brojevi	2	N₀ proširuje N s elementom 0.
153	2	Vietoeve formule za x1 + x2 u x^2 + bx + c = 0:	c	b	-b	-c	2	Zbroj korijena = -b / a, za a = 1 to je -b.
154	2	Vietoeve formule za x1 * x2 u x^2 + bx + c = 0:	-b	b	-c	c	3	Umnožak korijena = c / a, za a = 1 to je c.
155	2	Koliko strana ima ikosaedar?	12	20	8	6	1	Ikosaedar ima 20 jednakostraničnih trokutnih strana.
156	1	Procijeni: korijen iz 90 je između:	8 i 9	10 i 11	9 i 10	7 i 8	2	9^2 = 81, 10^2 = 100.
157	1	Koliko je 0,3 * 0,3?	0,9	0,06	0,09	0,6	2	0,3 * 0,3 = 0,09.
158	2	Ako su prostori slični s k = 2, volumen raste:	2 puta	4 puta	8 puta	6 puta	2	Omjer volumena = k^3 = 8.
159	2	Srednja linija trapeza je:	a - b	(a + b) / 2	a * b	a + b	1	Prosjek dviju paralelnih stranica.
160	1	Koliko je korijen iz 625?	20	30	25	15	2	25 * 25 = 625.
161	1	Riješi: x / 3 + x / 6 = 5.	x = 15	x = 10	x = 6	x = 30	1	2x / 6 + x / 6 = 3x / 6 = x / 2 = 5, x = 10.
162	2	Dijagonala kocke brida a je:	a * korijen iz 2	a * korijen iz 3	2a	3a	1	Prostorna dijagonala = a * korijen iz 3.
163	2	Površina jednakokračnog trokuta kateta = 6 cm je:	36 cm^2	18 cm^2	12 cm^2	9 cm^2	1	P = 1 / 2 * 6 * 6 = 18 cm^2.
164	1	Koliko je (-1)^100?	-1	100	-100	1	3	Paran eksponent na -1 daje 1.
165	1	Koliko je 9^(3 / 2)?	27	81	13,5	4,5	0	9^(1 / 2) = 3, 3^3 = 27.
166	2	Koliko dijagonala ima konveksni peterokut?	2	5	10	7	1	n(n-3) / 2 = 5 * 2 / 2 = 5.
167	2	Površina jednakostraničnog trokuta stranice a je:	a^2 / 2	a^2 * korijen iz 3 / 4	a^2	a * korijen iz 3	1	Formula: P = a^2 * korijen iz 3 / 4.
168	2	Koliko strana ima dodekaeder?	10	12	20	8	1	Dodekaeder ima 12 pravilnih peterokuta.
169	1	Riješi: 3^x = 81.	x = 3	x = 27	x = 4	x = 9	2	3^4 = 81.
170	1	Koliko je korijen iz 1 / 9?	1 / 81	1 / 3	3	9	1	(1 / 3)^2 = 1 / 9.
171	2	Nultočke y = x^2 - 5x + 6 su:	x = 1 i x = 6	x = 2 i x = 3	x = -2 i x = -3	x = 0 i x = 5	1	x^2 - 5x + 6 = (x-2)(x-3) = 0.
172	2	Diskriminanta jednadžbe x^2 + 4x + 5 = 0 je:	4	0	-4	9	2	D = 16 - 20 = -4. Nema realnih rješenja.
173	2	Simetrala dužine prolazi kroz:	Jedan kraj dužine	Polovište dužine	Izvan dužine	Oba kraja	1	Okomita na dužinu u njenom polovištu.
174	1	Koliko je (-1)^99?	1	99	-1	-99	2	Neparan eksponent na -1 daje -1.
175	1	Koliko je korijen iz 10000?	100	1000	10	50	0	100 * 100 = 10000.
176	2	Koji posebni pravokutnik ima sve kutove 90° i sve stranice jednake?	Romb	Trapez	Kvadrat	Paralelogram	2	Kvadrat je jedini pravokutnik s jednakim stranicama.
177	2	Površina romba s dijagonalama d1 = 6 i d2 = 8:	48	14	24	28	2	P = d1 * d2 / 2 = 48 / 2 = 24.
178	1	Koliko je 2^8?	128	512	64	256	3	2^8 = 256.
179	1	Koji broj je na brojevnom pravcu desno: -3 ili -5?	-5	Jednaki su	-3	Oba su na istom mjestu	2	-3 > -5, dakle je desnije.
180	2	Koliko je 1 litra u cm^3?	100 cm^3	1000 cm^3	10 cm^3	10000 cm^3	1	1 l = 1 dm^3 = 1000 cm^3.
181	2	Površina trapeza s bazama a = 8 i b = 4, visine h = 5:	60	20	30	40	2	P = (a + b) / 2 * h = 12 / 2 * 5 = 30.
182	1	Pojednostavi: (2^3)^2 / 2^4.	2	8	4	16	2	2^6 / 2^4 = 2^2 = 4.
183	2	Jedan vanjski kut trokuta:	Manji je od 90°	Uvijek je 120°	Zbroj je unutarnjeg+vanjskog kuta = 180°	Jednak je susjednom unutarnjem	2	Unutarnji + vanjski = suplementarni = 180°.
184	2	Koji je omjer stranica u trokutu 30°-60°-90°?	1 : 1 : korijen iz 2	1 : 2 : 3	1 : korijen iz 3 : 2	1 : 1 : 2	2	Kraća kateta : duža kateta : hipotenuza = 1 : korijen iz 3 : 2.
185	1	Koliko je korijen iz 324?	16	17	19	18	3	18 * 18 = 324.
186	2	Mreža kocke ima koliko jednakih kvadrata?	4	8	6	12	2	Kocka ima 6 strana, dakle 6 kvadrata.
187	1	Što je komplement skupa A u univerzalnom skupu U?	A ∩ U	A ∪ U	Svi elementi U koji nisu u A	Prazan skup	2	Komplement A' = U \ A.
188	2	Dijagonala stranice kocke brida a:	a * korijen iz 3	a	2a	a * korijen iz 2	3	Dijagonala kvadrata = a * korijen iz 2.
189	1	Koliko je 5^2 * 5^3?	5^5 = 3125	5^6	25 + 125	5^23	0	5^(2+3) = 5^5 = 3125.
190	2	Koliki dio površine kugle zauzima jedna hemisfera?	1 / 4	Cijelu	1 / 3	1 / 2	3	Pola kugle = pola površine.
191	1	Koliko je korijen iz (korijen iz 256)?	16	8	4	2	2	Korijen iz 256 = 16, korijen iz 16 = 4.
192	1	Riješi: 4x^2 = 100.	x = 25	x = 10	x = 5 ili x = -5	x = 50	2	x^2 = 25, x = ±5.
193	2	Koliki je kut koji tangenta zatvara s radijusom?	45°	60°	180°	90°	3	Tangenta je uvijek okomita na radijus.
194	2	Volumen prizme s bazom trokuta (a = 6, h_t = 4) i duljinom l = 10:	240 cm^3	60 cm^3	120 cm^3	80 cm^3	2	B = 1 / 2 * 6 * 4 = 12. V = 12 * 10 = 120.
195	1	Koliko je 16^(3 / 4)?	4	12	8	64	2	16^(1 / 4) = 2, 2^3 = 8.
196	1	Zbroj dva uzastopna neparna broja:	Uvijek paran	Uvijek neparan	Uvijek djeljiv s 3	Uvijek djeljiv s 5	0	Neparan + neparan = paran (npr. 3+5=8).
197	2	Formalna definicija funkcije: svakom elementu domene pridružuje:	Više elemenata kodomene	Nijedan element	Barem dva elementa	Točno jedan element kodomene	3	Funkcija = jednoznačno pridruživanje.
198	2	Visina jednakostraničnog trokuta stranice a iznosi:	a	a * korijen iz 3 / 2	a / 2	a * korijen iz 2	1	h = a * korijen iz 3 / 2.
199	1	Koliko je korijen iz 1?	0	1	-1	Nedefinirano	1	1 * 1 = 1.
200	2	Matematika 8. razreda je korisna jer:	Razvija logičko mišljenje	Priprema za srednju školu	Pomaže u svakodnevnom životu	Sve navedeno	3	Matematika je temelj za sve aspekte života!
