ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
20	2	Andy Warhol najpoznatiji je po:	Kubizmu	Serigramiji (Marilyn Monroe, Campbell's Soup)	Impresionizmu	Ekspresionizmu	1	Spajanje umjetnosti i masovne kulture.
21	1	Primarne boje su:	Zelena, narančasta, ljubičasta	Crvena, plava, žuta	Crna, bijela, siva	Roza, smeđa, tirkizna	1	Miješanjem daju sve ostale boje.
22	1	Sekundarne boje nastaju miješanjem:	Toplih boja	Dviju primarnih boja	Hladnih boja	Crne i bijele	1	Crvena+žuta=narančasta, plava+žuta=zelena, crvena+plava=ljubičasta.
23	1	Komplementarne boje su:	Slične boje	Boje koje su nasuprot na krugu boja	Samo tople boje	Samo hladne boje	1	Crvena-zelena, plava-narančasta, žuta-ljubičasta.
24	1	Tople boje uključuju:	Plava, zelena, ljubičasta	Crvena, narančasta, žuta	Crna, bijela, siva	Samo zlatna	1	Asociraju na toplinu, energiju, sunce.
25	1	Hladne boje uključuju:	Crvena, narančasta, žuta	Plava, zelena, ljubičasta	Crna, bijela, siva	Samo srebrna	1	Asociraju na hladnoću, mir, vodu.
26	1	Kontrast u likovnoj umjetnosti:	Smanjuje dinamiku	Naglašava razlike između elemenata (boja, oblika, veličina)	Samo za fotografiju	Nije važan	1	Npr. crno-bijelo, veliko-malo, toplo-hladno.
27	1	Tekstura u likovnom djelu je:	Samo boja	Vizualni ili taktilni osjećaj površine	Samo oblik	Samo linija	1	Glatko, hrapavo, grubo, mekano.
28	1	Kompozicija u likovnom djelu:	Samo boja pozadine	Raspored likovnih elemenata u cjelini	Samo okvir	Samo potpis	1	Simetrična, asimetrična, dijagonalna...
29	1	Perspektiva u crtežu služi za:	Ravninski prikaz	Iluziju trodimenzionalnog prostora na 2D površini	Samo boje	Samo linije	1	Linearna i zračna perspektiva.
30	1	Točka nedogleda u perspektivi je:	Najbliža točka	Točka na horizontu gdje se paralelne linije prividno susreću	Centar slike	Najsvjetlija točka	1	Ključ za realističan prikaz dubine.
31	2	Ready-made u umjetnosti znači:	Ručno napravljeno	Svakodnevni predmet proglašen umjetničkim djelom	Samo skulptura	Samo slika	1	Duchampova Fontana — pisoar.
32	2	Instalacija u suvremenoj umjetnosti je:	Samo slika na zidu	Prostorna intervencija/djelo u prostoru	Samo skulptura	Samo video	1	Specifično za prostor — site-specific.
33	2	Performans (performance art) je:	Samo kazalište	Umjetnički čin u kojem je umjetnikovo tijelo medij	Samo glazba	Samo film	1	Marina Abramović — poznata performerka.
34	2	Land art je:	Urbanizam	Umjetnost u prirodnom krajoliku	Samo vrtlarstvo	Samo fotografija	1	Robert Smithson — Spiral Jetty.
35	2	Street art je:	Samo vandalizam	Umjetnički izraz u javnom prostoru (grafiti, murali)	Samo reklamiranje	Samo fotografija	1	Banksy — najpoznatiji street artist.
36	2	Grafiti kao umjetnost:	Uvijek su ilegalni i neestetski	Mogu biti i umjetnički izraz i kulturni fenomen	Samo su vandalizam	Ne postoje u muzeju	1	Basquiat — od grafita do galerija.
37	1	Grafička tehnika linoreza koristi:	Drvo	Linoleum ploču za otiskivanje	Kamen	Metal	1	Rezanje uzorka u linoleum i otiskivanje.
38	1	Akvarel je tehnika slikanja:	Uljanim bojama	Vodenim bojama (prozirnim)	Akrilnim bojama	Olovkom	1	Lagana, prozračna tehnika.
39	1	Kolaž je tehnika:	Samo crtanja	Spajanja različitih materijala na podlogu	Samo slikanja	Samo rezanja	1	Papir, tkanina, fotografije — Picasso, Braque.
40	1	Uljane boje karakterizira:	Brzo sušenje	Sporo sušenje, bogatstvo boje i mogućnost slojeva	Prozirnost	Samo za papir	1	Tradicionalna tehnika — od renesanse.
41	2	Digitalna umjetnost koristi:	Samo fizičke medije	Računala, tablete, softver	Samo boje i platna	Samo gips	1	Photoshop, Illustrator, 3D modeliranje.
42	2	Fotografija kao umjetnički medij:	Nije umjetnost	Koristi svjetlo i kompoziciju za stvaranje vizualnog izraza	Samo za dokumentiranje	Samo za novine	1	Od Daguerra do suvremene fotografije.
43	2	Animacija je:	Samo za djecu	Stvaranje pokretnih slika iz niza statičnih	Samo fotografija	Samo film	1	Disney, Pixar, stop-motion.
44	1	Proporcija u likovnom radu znači:	Samo veličina	Odnos veličina dijelova prema cjelini	Samo boja	Samo oblik	1	Zlatni rez — idealna proporcija.
45	1	Zlatni rez (1:1,618) je:	Samo matematički pojam	Proporcija koja se smatra estetski harmoničnom	Samo u arhitekturi	Samo u glazbi	1	Pojavljuje se u prirodi, umjetnosti i arhitekturi.
46	1	Simetrija u likovnom djelu:	Samo kaos	Jednakost oblika s obje strane osi	Samo asimetrija	Samo kontrast	1	Zrcalna simetrija — uravnotežena kompozicija.
47	1	Asimetrija u likovnom djelu:	Neravnoteža	Nejednak raspored koji može stvoriti dinamičnu kompoziciju	Samo greška	Samo u modernoj umjetnosti	1	Dinamičnija i zanimljivija od simetrije.
48	2	Dizajn je:	Samo dekoracija	Oblikovanje predmeta, prostora ili vizualnih poruka s funkcijom	Samo umjetnost	Samo moda	1	Industrijski, grafički, web, modni dizajn.
49	2	Grafički dizajn uključuje:	Samo slikarstvo	Logotipe, plakate, tipografiju, vizualne identitete	Samo skulpturu	Samo arhitekturu	1	Vizualna komunikacija.
50	2	Tipografija je:	Samo pisanje	Umjetnost oblikovanja slova i teksta	Samo tisak	Samo kaligrafija	1	Font, veličina, razmak — utječu na čitljivost i estetiku.
51	1	Frida Kahlo poznata je po:	Kubizmu	Ekspresivnim autoportretima s elementima nadrealizma	Impresionizmu	Futurizmu	1	Meksička umjetnica — osobni simbolizam.
52	1	Henri Matisse bio je vođa:	Kubizma	Fovizma (divlje boje)	Ekspresionizma	Dadaizma	1	Intenzivne, nepreidne boje.
53	1	Fovizam karakterizira:	Prigušene boje	Jarke, nepreidne boje i slobodan potez	Samo crno-bijelo	Geometrijski oblici	1	Matisse, Derain, Vlaminck.
54	2	Bauhaus škola (1919.-1933.) je:	Samo slikarska škola	Utjecajna škola dizajna koja spaja umjetnost i funkcionalnost	Samo glazbena škola	Samo kiparsku školu	1	Gropius, Klee, Kandinsky.
55	2	Minimalizam u umjetnosti:	Koristi mnogo detalja	Koristi minimalne sredstva za maksimalni učinak	Samo u glazbi	Samo u arhitekturi	1	Less is more — Donald Judd, Dan Flavin.
56	2	Konceptualna umjetnost naglašava:	Samo estetiku	Ideju/koncept iznad vizualnog oblika	Samo boje	Samo materijale	1	Joseph Kosuth — One and Three Chairs.
57	1	Skulptura može biti:	Samo kamena	Od različitih materijala: kamen, drvo, metal, gips	Samo bronca	Samo plastika	1	Aditivna (dodavanje) i suptaktivna (oduzimanje) tehnika.
58	1	Reljef je:	Skulptura u punom volumen	Skulptura koja strši iz podloge (niski, visoki reljef)	Samo slika	Samo crtež	1	Npr. na arhitektonskim zdanjima.
59	1	Mozaik je tehnika:	Spajanja boja	Slaganja sitnih komadića (kamenčić, staklo) u sliku	Samo crtanja	Samo građenja	1	Antička i bizantska mozaička tradicija.
60	2	Video umjetnost (video art) je:	Samo TV emisija	Korištenje pokretne slike kao umjetničkog medija	Samo film	Samo YouTube	1	Nam June Paik — pionir video umjetnosti.
61	1	Freska je:	Uljana slika	Tehnika slikanja na mokru žbuku	Akvarel	Pastel	1	Michelangelo — Sikstinska kapela.
62	1	Portret prikazuje:	Krajoloku	Osobu ili skupinu ljudi	Samo predmete	Samo životinje	1	Lice, polulik, lik u punom profilu.
63	1	Autoportret je:	Portret druge osobe	Portret umjetnika koji slika samog sebe	Krajoliku	Mrtva priroda	1	Rembrandt, Van Gogh, Frida Kahlo.
64	1	Mrtva priroda (still life) prikazuje:	Krajolike	Ljude	Nežive predmete (voće, cvijeće, posude)	Životinje	2	Caravaggio, Cézanne — žanr s dugom tradicijom.
65	2	Op art (optička umjetnost) koristi:	Samo boje	Optičke iluzije i geometrijske uzorke	Samo fotografiju	Samo skulpturu	1	Vasarely, Bridget Riley — vizualne iluzije.
66	2	Art nouveau je stil:	20. st. sredine	Prijelaza 19./20. st. s organskim, zakrivljenim oblicima	Antike	Baroka	1	Klimt, Mucha, Gaudí.
67	2	Gustav Klimt poznat je po:	Kubizmu	Zlatnim, ornamentalnim portretima (Poljubac)	Impresionizmu	Futurizmu	1	Bečka secesija.
68	1	Što je karikatura?	Realistični portret	Naglašen i iskrivljen prikaz osobe radi humora ili kritike	Fotografija	Samo komedija	1	Satirični prikaz — novine, stripovi.
69	1	Plakat (poster) kao oblik vizualne komunikacije:	Samo tekst	Kombinira sliku, tekst i boju za prenošenje poruke	Samo fotografija	Samo ukras	1	Toulouse-Lautrec — pionir plakata.
70	2	Ekološka umjetnost (Eco-art) koristi:	Samo plastiku	Prirodne materijale i potiče ekološku svijest	Samo kemikalije	Samo digitalnu tehnologiju	1	Umjetnost u službi zaštite okoliša.
71	1	Ritam u likovnom djelu postiže se:	Samo bojom	Ponavljanjem elemenata u pravilnim ili nepravilnim razmacima	Samo oblicima	Samo veličinom	1	Vizualni ritam — poput glazbenog ritma.
72	1	Dominacija u kompoziciji znači:	Svi elementi jednaki	Jedan element vizualno prevladava nad drugima	Nema fokusa	Samo jednobojno	1	Naglašava središnji element.
73	1	Jedinstvo u kompoziciji:	Kaos	Svi elementi djeluju harmonično kao cjelina	Suprotstavljenost	Nepovezanost	1	Vizualna harmonija svih dijelova.
74	2	Suvremena (contemporary) umjetnost:	Samo 19. st.	Nastala od 1960-ih do danas	Samo antika	Samo renesansa	1	Multimedijalna, interdisciplinarna, konceptualna.
75	2	Muzej suvremene umjetnosti u Zagrebu:	Mimara	MSU (Muzej suvremene umjetnosti)	HNK	HDU	1	Novi Zagreb — otvoren 2009.
76	1	Vlaho Bukovac bio je:	Glazbenik	Istaknuti hrvatski slikar (Gundulićev san)	Kipar	Arhitekt	1	Dubrovčanin — realism i impresionizam.
77	1	Ivan Meštrović bio je:	Slikar	Jedan od najznačajnijih hrvatskih kipara	Glazbenik	Arhitekt	1	Gregorije Ninski, Indijac na konju.
78	1	Naivna umjetnost (Zagreb School of Naive Art):	Samo akademska	Samouki umjetnici koji prikazuju seoske motive	Samo apstraktna	Samo digitalna	1	Generalić, Rabuzin — hrvatska tradicija.
79	1	Ivan Generalić je poznat po:	Kubizmu	Naivnom slikarstvu seoskih motiva na staklu	Impresionizmu	Skulpturi	1	Hlebinska škola naivnog slikarstva.
80	2	Strip (comic) je:	Samo zabava	Umjetnički oblik koji spaja sliku i tekst u nizu	Samo za djecu	Samo u novinama	1	Andrija Maurović — otac hrvatskog stripa.
81	2	Manga i anime su:	Samo japanski stripovi/animacije	Japanski umjetnički oblici s velikim globalnim utjecajem	Samo za djecu	Samo filmovi	1	Značajan kulturni izvoz Japana.
82	1	Linija u likovnoj umjetnosti može biti:	Samo ravna	Ravna, zakrivljena, valovita, isprekidana	Samo debela	Samo tanka	1	Osnova crtanja — definira oblike.
83	1	Oblik u likovnoj umjetnosti može biti:	Samo krug	Geometrijski ili organski (slobodni)	Samo kvadrat	Samo trokut	1	Geometrijski: krug, kvadrat. Organski: oblaci, lišće.
84	1	Prostor u likovnom djelu postiže se:	Samo bojama	Preklapanjem, perspektivom, promjenom veličine	Samo linijama	Samo okvirima	1	Iluzija dubine.
85	2	Muralizam je:	Samo slikanje na papiru	Slikanje velikih zidnih slika (naročito meksički muralisti)	Samo grafiti	Samo mozaik	1	Rivera, Orozco, Siqueiros.
86	2	Kinetička umjetnost koristi:	Samo statične objekte	Pokret kao sastavni element umjetničkog djela	Samo boje	Samo zvuk	1	Alexander Calder — mobijl.
87	1	Pastel je tehnika:	Samo olovkom	Suhe boje u obliku štapića za crtanje	Samo akvarelom	Samo uljem	1	Mekane, baršunaste boje.
88	1	Crtež je temelj:	Samo kiparestva	Svih likovnih tehnika	Samo slikarstva	Samo dizajna	1	Leonardo da Vinci — majstor crteža.
89	2	Apstraktni ekspresionizam:	Pazi na detalj	Američke pokret — slobodna gesta, velika platna	Europski pokret	Samo skulptura	1	Pollock (dripping), Rothko (Color field).
90	2	Jackson Pollock je poznat po:	Klasičnim portretima	Action painting — prskanje boje po platnu	Krajolicima	Mozaicima	1	Drip painting — revolucionaran pristup.
91	1	Ton u likovnom djelu označava:	Samo zvuk	Stupanj svjetlosti ili tame neke boje	Samo temperaturu boje	Samo zasićenost	1	Svjetliji i tamniji tonovi iste boje.
92	1	Zasićenost (saturacija) boje je:	Količina bijele	Intenzitet/čistoća boje	Količina crne	Količina sive	1	Visoka zasićenost = živa boja.
93	2	Keramika je:	Samo slikanje	Oblikovanje i pečenje gline	Samo crtanje	Samo digitalna tehnika	1	Vaze, posuđe, skulpture od gline.
94	2	Art deco stil karakterizira:	Organski oblici	Geometrijski oblici, luksuz, elegancija	Samo biljni motivi	Samo apstrakcija	1	1920-30-ih — arhitektura, dizajn, moda.
95	1	Simbolizam u likovnoj umjetnosti koristi:	Samo ljude	Simbole i alegorije da izrazi ideje i emocije	Samo brojeve	Samo boje	1	Gustave Moreau, Odilon Redon.
96	2	Hiperrealizam je:	Apstrakcija	Stil koji imitira fotografsku preciznost u slikarstvu	Ekspresionizam	Nadrealizam	1	Chuck Close, Richard Estes.
97	2	Što je estetika?	Samo lijep izgled	Filozofska disciplina o ljepoti i umjetnosti	Samo moda	Samo dizajn	1	Proučava što smatramo lijepim i zašto.
98	2	Kustosa (kurator) u galeriji:	Samo čisti	Organizira izložbe i brine o umjetničkim zbirkama	Samo prodaje	Samo čuva	1	Ključna osoba u muzejskom/galerijskom svijetu.
99	2	Reprodukcija umjetničkog djela je:	Original	Kopija ili otisak originalnog djela	Samo fotografija	Samo skica	1	Tisak, fotografija, digitalna reprodukcija.
100	2	Likovna kultura uči nas:	Samo crtati	Gledati, razumjeti i stvarati vizualni izraz	Samo bojiti	Samo kopirati	1	Razvija kreativnost, estetiku i kritičko mišljenje!
