ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
117	2	Assemblage je:	Samo kolaž	3D kolaž — spajanje predmeta u prostornu kompoziciju	Samo skulptura od kamena	Samo crtež	1	Robert Rauschenberg — Combines.
118	1	Enkaustika je technika:	Akvarelom	Slikanja vrućim voskom pomiješanim s pigmentima	Samo olovkom	Samo sprejom	1	Korištena još u antici (fajumski portreti).
119	1	Drvorez je:	Rezanje drva za graditeljstvo	Grafička tehnika rezbarenja uzorka u drveni blok za tisak	Samo kiparestvo	Samo slikarstvo	1	Albrecht Dürer — majstor drvoreza.
120	1	Litografija je:	Tehnika u drvu	Grafička tehnika otiskivanja s kamene ploče	Tehnika u metalu	Digitalni tisak	1	Kamen (lithos) + pisanje (graphein).
121	2	Serigramija (sitotisak) je:	Samo crtanje	Tisak boje kroz matricu od fine mrežice	Samo rezanje	Samo fotografija	1	Warhol — koristio za pop-art otiske.
122	2	Akrilne boje karakterizira:	Jako sporo sušenje	Brzo sušenje i raznovrsna primjena	Samo za papir	Samo za drvo	1	Popularne u suvremenoj umjetnosti.
123	1	Gvaš (gouache) je:	Prozirna tehnika	Neprozirna vodena boja	Uljana boja	Olovka	1	Gušća od akvarela — pokrivna boja.
124	2	Vitraj je:	Samo prozor	Umjetnički rad od obojenog stakla	Samo ukras	Samo moderan dizajn	1	Gotičke katedrala — prekrasni vitraji.
125	1	Glagoljica je osim pisma i:	Samo tekst	Izvor likovne inspiracije u hrvatskom dizajnu	Samo matematika	Samo glazba	1	Glagoljička slova koriste se u suvremenom dizajnu.
126	2	Iluzija prostora može se postići:	Samo jednom bojom	Preklapanjem oblika, tonskim gradacijama, perspektivom	Samo jednim oblikom	Samo ravnim plohama	1	Vizualni trikovi za dubinu.
127	1	Monokromatska paleta koristi:	Mnogo boja	Samo jednu boju u različitim tonovima	Samo crno i bijelo	Samo primarne boje	1	Npr. samo plava u različitim nijansama.
128	1	Analogne boje su:	Suprotne na krugu	Boje koje su susjedne na krugu boja	Samo primarne boje	Samo tamne boje	1	Npr. žuta, žuta-zelena, zelena — harmoničan raspored.
129	2	Trijadna shema boja koristi:	Dvije boje	Tri jednako udaljene boje na krugu boja	Jednu boju	Sve boje	1	Npr. crvena, žuta, plava — živahan kontrast.
130	2	3D tisak koristi se u:	Samo industriji	Dizajnu, umjetnosti, medicini, arhitekturi	Samo za igračke	Samo za hranu	1	Suvremeni alat za kreativnu produkciju.
131	1	Mirko Rački bio je:	Glazbenik	Hrvatski slikar i grafičar (secesijski stil)	Kipar	Arhitekt	1	Ilustracije za Danteovu Božanstvenu komediju.
132	1	Edo Murtić bio je:	Klasični kipar	Hrvatski apstraktni ekspresionist	Naivni slikar	Filmaš	1	Poznate apstraktne kompozicije mediteranskih boja.
133	2	Julije Knifer poznat je po:	Portretima	Meandru — beskonačnom crno-bijelom uzorku	Krajolicima	Mrtvim prirodama	1	Gorgona grupa — konceptualna umjetnost.
134	2	Grupa Gorgona bila je:	Pop grupa	Neo-avangardna umjetnička grupa u Zagrebu (1960-ih)	Sportski tim	Politička stranka	1	Knifer, Mangelos, Vaništa.
135	1	Ivan Rabuzin bio je:	Kipar	Naivni slikar poznat po zaobljenim oblicima i jarkim bojama	Arhitekt	Dizajner	1	Sunca, cvijeće, brežuljci — prepoznatljiv stil.
136	2	Interaktivna umjetnost:	Samo gleda se	Uključuje gledatelja/sudioniku kao aktivan dio djela	Samo čita se	Samo sluša se	1	Gledatelj postaje sukreator.
137	2	NFT (Non-Fungible Token) u umjetnosti:	Klasična tehnika	Digitalni certifikat vlasništva za digitalno umjetničko djelo	Samo valuta	Samo igra	1	Beeple — milionski prodano digitalno djelo.
138	1	Perspektiva 'žablja' znači:	Pogled odozgo	Pogled odozdo prema gore	Pogled s boka	Frontalni pogled	1	Subjekt izgleda veličanstveno.
139	1	Perspektiva 'ptičja' znači:	Pogled odozdo	Pogled odozgo prema dolje	Pogled s boka	Iz profila	1	Panoramski pogled — subjekt izgleda mali.
140	2	Body art koristi:	Samo platno	Ljudsko tijelo kao medij umjetničkog izraza	Samo papir	Samo drvo	1	Performans, tetovaže, body painting.
141	1	Monogram je:	Samo slika	Kombinirano pismo od inicijala	Samo potpis	Samo pečat	1	Dürerov AD monogram.
142	1	Ikona u likovnoj umjetnosti je:	Samo digitalna ikona	Sveta slika u pravoslavnoj/istočnoj umjetnosti	Samo logotip	Samo simbol	1	Bizantska tradicija — zlato, svetice.
143	2	Biennale je:	Godišnja izložba	Dvogodišnja međunarodna izložba	Mjesečna izložba	Tjedna izložba	1	Venecijanski biennale — od 1895.
144	2	Documenta je:	Filmski festival	Velika izložba suvremene umjetnosti u Kasselu (svakih 5 god.)	Glazbeni festival	Sportski događaj	1	Jedna od najvažnijih svetskih izložbi.
145	1	Tonska modulacija je:	Samo zvuk	Postupni prijelaz iz svjetlog u tamno unutar jednog oblika	Samo boja	Samo linija	1	Daje volumen i plastičnost.
146	1	Silueta je:	Detaljni crtež	Obris/kontura ispunjen jednom bojom	Samo fotografija	Samo portret	1	Crna silueta na svijetloj pozadini.
147	2	Vizualna kultura uključuje:	Samo slikarstvo	Sve vizualne poruke: reklame, film, moda, dizajn, umjetnost	Samo skulpturu	Samo fotografiju	1	Razumijevanje vizualnog svijeta oko nas.
148	2	Kritičko gledanje vizualnih medija uključuje:	Samo gledanje	Analizu poruke, namjere, publike i konteksta	Samo estetiku	Samo zabavu	1	Medijska pismenost u vizualnoj kulturi.
149	1	Ornament je:	Samo slika	Ukrasni element koji obogaćuje površinu predmeta ili prostora	Samo skulptura	Samo tekst	1	Geometrijski, biljni, životinjski motivi.
150	2	Augmented Reality (AR) u umjetnosti:	Samo igra	Spaja digitalni sadržaj sa stvarnim prostorom	Samo u znanosti	Samo u medicini	1	Suvremani umjetnički eksperiment.
151	1	Proplanak kao motiv u slikarstvu pripada žanru:	Portretu	Krajoliku (pejzažu)	Mrtvoj prirodi	Aktu	1	Krajoloci — omljeni žanr od 17. st.
152	1	Žanrovsko slikarstvo prikazuje:	Samo portrete	Scene iz svakodnevnog života	Samo krajolike	Samo religijsku tematiku	1	Vermeer, Brueghel — sceni običnog života.
153	2	Site-specific art je:	Umjetnost za bilo koji prostor	Umjetničko djelo stvarano za specifičan prostor/lokaciju	Samo u galeriji	Samo u muzeju	1	Djelo i prostor su neodvojivi.
154	2	Fotomontaža je:	Samo fotografija	Kombiniranje dijelova različitih fotografija u novu sliku	Samo kolaž	Samo crtež	1	John Heartfield — politička fotomontaža.
155	1	Što je skica (sketch)?	Gotovo djelo	Brzi, prethodnog crtež — pripremni rad	Samo završna verzija	Samo u boji	1	Osnova za razradu konačnog djela.
156	1	Studija u likovnom smislu je:	Samo učenje	Detaljno proučavanje jednog elementa (ruke, glave, drapiraja)	Samo škola	Samo čitanje	1	Da Vincijeve studije ruku i anatomije.
157	2	Umjetnička kritika uključuje:	Samo pohvalu	Opis, analizu, interpretaciju i procjenu djela	Samo osudu	Samo gledanje	1	Feldmanove četiri faze: opisi, analiziraj, interpretiraj, prosudi.
158	2	Postmodernizam u umjetnosti:	Nastavlja modernizam	Dovodi u pitanje velike narative, miješa stilove i pristupe	Samo klasicizam	Samo realizam	1	Pluralizam, citatnost, ironija.
159	1	Glas kao likovni element uključuje:	Samo zvuk	Boju, ton, zasićenost i intenzitet	Samo oblik	Samo liniju	1	Boja je najemocionalniji likovni element.
160	2	Gustav Klimtov Poljubac je:	Skulptura	Jedno od najpoznatijih slikarskih djela secesije/art nouveaua	Arhitektonsko djelo	Glazbeno djelo	1	Zlato, ornament, ljubavna tema.
161	1	Format likovnog rada može biti:	Samo kvadratni	Vertikalni (portret), horizontalni (krajolok), kvadratni, kružni	Samo horizontalni	Samo kružni	1	Format utječe na doživljaj kompozicije.
162	2	Holografija u umjetnosti koristi:	Samo boje	Lasersku tehnologiju za stvaranje 3D slika	Samo projekcije	Samo ogledala	1	Holografski portreti i instalacije.
163	2	Recycling art (reciklirajuća umjetnost) koristi:	Samo nove materijale	Odbačene materijale za stvaranje umjetničkih djela	Samo prirodne materijale	Samo digitalnu tehnologiju	1	Ekosvijest kroz kreativnot.
164	1	Aksonometrija je:	Samo fotografija	Tehnika trodimenzionalnog prikaza bez točke nedogleba	Samo perspektiva	Samo crtež	1	Izometrija — tehnički crtež.
165	1	Boja pozadine utječe na:	Ništa	Doživljaj boja u prvom planu (simultani kontrast)	Samo veličinu	Samo oblik	1	Ista boja izgleda različito na različitoj pozadini.
166	2	Mobile (pokretna skulptura) izumio je:	Picasso	Alexander Calder	Duchamp	Mondrian	1	Vise sa stropa i pomiču se zračnim strujama.
167	2	Christo i Jeanne-Claude poznati su po:	Portretima	Obmokavanju zgrada i krajolika u tkaninu	Kubizmu	Impresionizmu	1	Omotani Rijkstag, Running Fence.
168	1	Negativan prostor u kompoziciji je:	Samo crno	Praznina oko i između oblika (jednako važna kao oblik)	Samo pozadina	Samo okvir	1	Odnos pozitivnog i negativnog prostora.
169	2	Mapping (video mapping) je:	Samo kartografija	Projekcija video sadržaja na 3D površine (zgrade, skulpture)	Samo fotografija	Samo crtanje	1	Suvremena multimedijalna tehnika.
170	1	Karikatura služi za:	Samo pohvalu	Humorističan ili satiričan komentar prikazivanjem iskrivljenih crta	Samo dokumentiranje	Samo dekoraciju	1	Daumier — politička karikatura.
171	2	Data art koristi:	Samo boje	Podatke i algoritme kao materijal za umjetnički izraz	Samo gline	Samo kamen	1	Sjecište tehnologije i ekspresionizma.
172	1	Crtanje po promatranju znači:	Samo iz glave	Crtanje onoga što vidiš pred sobom	Samo kopiranje	Samo apstrakcija	1	Temeljna vježba za opažanje i vještinu.
173	1	Crtanje iz imaginacije znači:	Samo kopiranje	Stvaranje slika iz vlastite mašte	Samo po promatranju	Samo s fotografije	1	Razvija kreativnost i originalnost.
174	2	Galerija i muzej razlikuju se po:	Nema razlike	Muzej čuva zbirku, galerija izlaže i prodaje	Samo veličini	Samo lokaciji	1	Muzej = trajna zbirka, galerija = izložbe.
175	2	Konzervacija umjetničkog djela znači:	Uništavanje	Očuvanje djela u izvornom stanju	Preuređivanje	Kopiranje	1	Sprječavanje propadanja — stručni posao.
176	2	Restauracija umjetničkog djela znači:	Uništavanje	Vraćanje oštećenog djela u prvobitno stanje	Kopiranje	Prodaju	1	Obnova — zahtijeva stručno znanje.
177	1	Likovna kompozicija u trokutu:	Stvara nestabilnost	Stvara stabilnost i harmoniju	Stvara kaos	Nema efekta	1	Piramidalna kompozicija — renesansna tradicija.
178	1	Dijagonalna kompozicija:	Statična je	Stvara dinamiku i pokret	Dosadna je	Nema učinka	1	Kosi elementi daju energiju.
179	2	Community art (zajednička umjetnost):	Samo za elitu	Uključuje zajednicu u stvaralački proces	Samo za profesionalce	Samo za djecu	1	Društveno angažirana umjetnost.
180	2	Umjetna inteligencija (AI) u umjetnosti:	Ne postoji	Koristi algoritme za stvaranje vizualnih djela	Samo za znanost	Samo za igre	1	DALL-E, Midjourney — nova era kreativnosti.
181	1	Boja u psihologiji:	Nema utjecaja	Utječe na emocije i percepciju (crvena = energija, plava = mir)	Samo za estetiku	Samo za dizajn	1	Psihologija boja — marketing, terapija, umjetnost.
182	1	Warm-cool kontrast u slici:	Nema efekta	Stvara vizualnu dubinu i emocionalnu napetost	Samo za dekoraciju	Samo za fotografiju	1	Topla boja naprijed, hladna natrag = dubina.
183	2	Autorsko pravo u umjetnosti:	Ne postoji	Štiti originalnost i intelektualno vlasništvo umjetnika	Samo za knjige	Samo za glazbu	1	Copyright © — zaštita kreativnog rada.
184	2	Plagijat u umjetnosti znači:	Originalnost	Prisvajanje tuđeg rada bez navođenja izvora	Inspiracija	Hommage	1	Etičko i pravno neprihvatljivo.
185	1	Crtanje s mrežom pomaže u:	Bojanju	Preciznom prenošenju proporcija s modela na papir	Samo dekoraciji	Samo u matematici	1	Grid metoda — za točan prijenos.
186	1	Perspektiva s jednom točkom nedogleda:	Nema dubine	Sve linije dubine konvergiraju u jednu točku	Koristi tri točke	Nema horizonta	1	Frontalna perspektiva — jednostavna dubina.
187	1	Perspektiva s dvije točke nedogleda:	Samo frontalna	Koristi se za kutni pogled — realniji 3D prikaz	Samo zračna	Nema horizonta	1	Kutova perspektiva — češća u arhitekturi.
188	2	Ako miješamo crvenu i zelenu boju (komplementarne):	Dobijemo plavu	Dobijemo tamnosmeđu/sivu (neutralizacija)	Dobijemo žutu	Dobijemo bijelu	1	Komplementarne boje se neutraliziraju.
189	2	Aditivno miješanje boja (svjetlo):	Daje crnu	Crvena + zelena + plava = bijela	Daje sivu	Daje smeđu	1	RGB na ekranima.
190	2	Suptraktivno miješanje boja (pigmenti):	Daje bijelu	Cijan + magenta + žuta = crna (teorijski)	Daje crvenu	Daje plavu	1	CMYK u tisku.
191	1	Priroda kao inspiracija u umjetnosti:	Nikada korištena	Oduvijek je bila jedan od najvažnijih izvora inspiracije	Samo u modernoj umjetnosti	Samo u fotografiji	1	Od antike do land arta.
192	2	Fotoreportaža je:	Samo jedna fotografija	Niz fotografija koje pričaju priču	Samo portret	Samo krajol	1	Dokumentarna fotografija — pripovijedanje.
193	1	Maketa/model u dizajnu je:	Gotov proizvod	Umanjeni prototip za testiranje ideja	Samo crtež	Samo skica	1	3D prikaz prije finalne izvedbe.
194	2	UX/UI dizajn se bavi:	Samo bojama	Korisničkim iskustvom i sučeljem digitalnih proizvoda	Samo fontovima	Samo slikama	1	Kako korisnik doživljava aplikaciju/web stranicu.
195	1	Likovna kultura razvija:	Samo tehniku	Kreativnost, estetski osjećaj, kritičko mišljenje	Samo crtanje	Samo teoriju	1	Cjeloviti razvoj osobnosti.
196	2	Inkluzivni dizajn je:	Samo za elitu	Dizajn koji je pristupačan svim korisnicima	Samo za profesionalce	Samo za mlade	1	Univerzalni pristup — za sve sposobnosti.
197	1	Otisak stopala/prsta je:	Samo kriminalistika	Može biti i likovni element u kreativnom radu	Samo biometrika	Samo u znanosti	1	Kreativna uporaba otisaka.
198	2	Suvremeni hrvatski dizajneri:	Ne postoje	Stvaraju prepoznatljive proizvode i vizualne identitete	Samo kopiraju strane dizajnere	Samo za lokalno tržište	1	Hrvatska ima bogatu dizajnersku scenu.
199	1	Kreativni proces uključuje:	Samo kopiranje	Istraživanje, ideju, skiciranje, izradu, refleksiju	Samo jedan korak	Samo završni rad	1	Od ideje do realizacije — ciklični proces.
200	2	Likovna kultura u 8. razredu pomaže:	Samo za ocjene	Razviti vizualnu pismenost i razumjeti umjetnost oko nas	Samo za zabavu	Samo za crtanje	1	Umjetnost obogaćuje naš život i način razmišljanja!
