ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
15	1	Sile Osovine u II. svjetskom ratu bile su:	SAD, UK, Rusija	Njemačka, Italija, Japan	Francuska, Kina, Brazil	Švicarska, Švedska, Španjolska	1	Protiv Saveznika.
16	1	Holokaust je:	Ekonomska kriza	Sustavno ubijanje oko 6 milijuna Židova od strane nacista	Prirodna katastrofa	Migracijski val	1	Kao i Romi, Slaveni i drugi – žrtve nacističkog režima.
17	1	NDH (Nezavisna Država Hrvatska) postojala je:	1918.-1929.	1929.-1939.	1941.-1945.	1945.-1991.	2	Marionetska država pod utjecajem Njemačke i Italije.
18	1	Ustaški režim je:	Bio demokratski	Bio fašistički režim koji je provodio zločine	Bio komunistički	Bio monarhija	1	Jasenovac — jedan od najpoznatijih logora.
19	1	Partizanski pokret u Jugoslaviji vodio je:	Draža Mihailović	Josip Broz Tito	Ante Pavelić	Stjepan Radić	1	Antifašistički pokret otpora.
20	1	Bitka kod Staljingrada (1942./43.) bila je:	Mala bitka	Prekretnica na Istočnom frontu	Pomorska bitka	Zračna bitka	1	Njemački poraz — jedna od najkrvavijih bitaka.
21	1	Dan D (6. lipnja 1944.) je:	Kraj rata	Savezničko iskrcavanje u Normandiji	Početak rata	Japanski napad	1	Otvorena druga fronta u Europi.
22	1	Atomske bombe bačene su na:	Berlin i Rim	London i Pariz	Hirošimu i Nagasaki	Moskvu i Peking	2	Kolovoz 1945. — Japan se predao.
23	1	Drugi svjetski rat u Europi završio je:	1943.	1944.	8. svibnja 1945.	1946.	2	Dan pobjede u Europi.
24	2	Ujedinjeni narodi (UN) osnovani su:	1919.	1939.	1945.	1950.	2	San Francisco, 24. listopada 1945.
25	2	Hladni rat bio je sukob između:	Francuske i Njemačke	SAD-a (Zapad) i SSSR-a (Istok)	Kine i Japana	Italije i Grčke	1	Od 1947. do 1991. — ideološki, ekonomski i vojni sukob.
26	2	Berlinski zid podignut je:	1945.	1949.	1961.	1989.	2	Dijelio Istočni i Zapadni Berlin.
27	2	Berlinski zid srušen je:	1985.	1989.	1991.	1995.	1	9. studenoga 1989. — simbolički kraj Hladnog rata.
28	2	NATO je osnovan:	1945.	1949.	1955.	1991.	1	Sjevernoatlantski ugovor — kolektivna obrana.
29	2	Varšavski pakt bio je:	Zapadni vojni savez	Istočni vojni savez predvođen SSSR-om	Ekonomska organizacija	Sportska organizacija	1	Osnovan 1955. kao protuteža NATO-u.
30	2	SFRJ (Socijalistička Federativna Republika Jugoslavija) imala je koliko republika?	4	5	6	8	2	Slovenija, Hrvatska, BiH, Srbija, Crna Gora, Makedonija.
31	2	Josip Broz Tito vodio je SFRJ do:	1975.	1980. (smrt)	1985.	1991.	1	Doživotni predsjednik, umro 4. svibnja 1980.
32	2	Pokret nesvrstanih osnovan je:	1945.	1955.	1961.	1989.	2	Zemlje koje nisu bile ni na Zapadu ni na Istoku.
33	2	Dekolonizacija je:	Stvaranje kolonija	Oslobađanje koloniziranih naroda i državna neovisnost	Osvajanje novih zemalja	Industrijski razvoj	1	Posebno nakon II. svjetskog rata u Africi i Aziji.
34	2	Martin Luther King Jr. borio se za:	Vojne ciljeve	Građanska prava Afroamerikanaca	Ekonomske reforme	Kolonizaciju	1	Govor 'I have a dream' — 1963.
35	2	Apartheid je bio sustav:	Jednakosti	Rasne segregacije u Južnoafričkoj Republici	Obrane	Obrazovanja	1	Ukinut 1994. — Nelson Mandela prvi crnački predsjednik.
36	2	Nelson Mandela proveo je u zatvoru:	5 godina	10 godina	27 godina	40 godina	2	Na Robben Islandu — simbol borbe protiv apartheida.
37	2	Kubanska kriza 1962. bila je:	Ekonomska kriza	Nuklearna prijetnja — sukob SAD-a i SSSR-a oko raketa na Kubi	Sportski događaj	Kulturna manifestacija	1	Najbliže je svijet bio nuklearnom ratu.
38	2	Korejski rat (1950.-1953.) rezultirao je:	Ujedinjenjem Koreje	Podjelom na Sjevernu i Južnu Koreju	Porazom obje strane	Nestankom Koreje	1	Demilitarizirana zona na 38. paraleli.
39	2	Vijetnamski rat trajao je:	1945.-1950.	1955.-1975.	1980.-1990.	1990.-2000.	1	SAD se povukao 1973., Vijetnam ujedinjen 1975.
40	2	Svemirska utrka bila je natjecanje između:	Francuske i UK	SAD-a i SSSR-a	Kine i Japana	Indije i Pakistana	1	SSSR prvi u svemir (Sputnik 1957., Gagarin 1961.).
41	2	Prvi čovjek na Mjesecu bio je:	Jurij Gagarin	Neil Armstrong	Buzz Aldrin	John Glenn	1	20. srpnja 1969. — Apollo 11.
42	2	Europska ekonomska zajednica (EEZ) osnovana je:	1945.	1957.	1975.	1993.	1	Rimski ugovori — preteča EU.
43	2	SSSR se raspao:	1985.	1989.	1991.	1995.	2	Na 15 neovisnih država.
44	2	Glasnost i perestrojka bile su reforme:	Staljina	Hruščova	Gorbačova	Lenjina	2	Glasnost (otvorenost), perestrojka (preobrazba) — 1980-ih.
45	2	Domovinski rat u Hrvatskoj trajao je:	1989.-1991.	1991.-1995.	1995.-2000.	1980.-1990.	1	Obrana Hrvatske od velikosrpske agresije.
46	2	Hrvatska je proglasila neovisnost:	25. lipnja 1991.	8. listopada 1991.	1. siječnja 1992.	22. prosinca 1990.	0	Odluka Sabora, stupila na snagu 8. 10. 1991.
47	2	Vukovar je simbol:	Turizma	Hrvatskog otpora i stradanja u Domovinskom ratu	Industrije	Sporta	1	Bitka za Vukovar — 87 dana opsade 1991.
48	2	Oluja je bila:	Prirodna nepogoda	Oslobodilačka vojna operacija Hrvatske vojske 1995.	Čisto politička akcija	Mirovni sporazum	1	4.-7. kolovoza 1995. — oslobođena okupirana područja.
49	2	Franjo Tuđman bio je:	Srpski predsjednik	Prvi predsjednik samostalne Hrvatske	Austrijski car	Jugoslavenski premijer	1	Predsjednik od 1990. do smrti 1999.
50	2	Daytonski sporazum (1995.) zaustavio je:	Korejski rat	Rat u Bosni i Hercegovini	Vijetnamski rat	Hladni rat	1	Potpisan u Daytonu, Ohio.
51	1	Ženske su dobile pravo glasa u većini zapadnih zemalja:	U 18. st.	Početkom 20. st. (nakon I. sv. rata)	U 15. st.	2000.	1	Sufražetski pokret.
52	1	Industrijalizacija u 20. st. dovela je do:	Smanjenja gradova	Urbanizacije, masovne proizvodnje i društvenih promjena	Nestanka tehnologije	Samo rata	1	Fordovska proizvodnja, masovna potrošnja.
53	1	Propaganda je:	Samo istina	Sustavno širenje informacija za oblikovanje javnog mišljenja	Samo laž	Samo u demokracijama	1	Korištena u oba svjetska rata i Hladnom ratu.
54	1	Genocid znači:	Migraciju	Sustavno istrebljenje nacionalne, etničke ili vjerske skupine	Obrazovanje	Industriju	1	Holokaust, Rwanda 1994., Srebrenica 1995.
55	2	Europska unija (EU) osnovana je:	1957.	1975.	1993. (Ugovorom iz Maastrichta)	2000.	2	Proširenje EEZ-a u političku i ekonomsku uniju.
56	1	Treća Jugoslavija raspadala se kroz:	Mirovne pregovore	Sukobe, ratove i proglašenja neovisnosti republika	Referendum svih naroda	Odluku UN-a	1	Slovenija, Hrvatska, BiH, Makedonija — devedesetih.
57	1	Bečki kongres (1814./15.) odredio je:	Kraj II. sv. rata	Novu europsku ravotežu nakon Napoleonovskih ratova	Početak I. sv. rata	Osnivanje UN-a	1	Metterrichov sustav europske ravnoteže.
58	1	Austro-Ugarska Monarhija nastala je:	1848.	1867.	1914.	1918.	1	Austro-ugarska nagodba — dualna monarhija.
59	1	Hrvati u Austro-Ugarskoj imali su Ban kao:	Kralja	Namjesnika/zastupnika kraljeva vlasti u Hrvatskoj	Generala	Svećenika	1	Ban — čelnik Hrvatske u sklopu Monarhije.
60	1	Hrvatska-slavonska nagodba (1868.) je:	Jednakost s Mađarima	Regulirala odnos Hrvatske i Ugarske u okviru Monarhije	Neovisnost Hrvatske	Samo trgovinski ugovor	1	Hrvatska autonomija u upravi, ali ograničena.
61	2	Srebrenica (1995.) je:	Sportski događaj	Sustavni genocid nad Bošnjacima	Kulturni festival	Ekonomska konferencija	1	Više od 8000 muškaraca i dječaka ubijeno.
62	2	Maastrichtski ugovor iz 1992. stvorio je:	NATO	Europsku uniju	Ligu naroda	UN	1	Stupio na snagu 1993.
63	2	Globalizam označava:	Izolaciju	Sve veću povezanost svijeta u ekonomiji, politici, kulturi	Samo lokalni razvoj	Samo vojne saveze	1	Internet, trgovina i putovanja ubrzavaju proces.
64	1	Tankovi su prvi put masovno korišteni u:	Građanskog rata u Americi	Prvom svjetskom ratu	Drugom svjetskom ratu	Korejskom ratu	1	Britanski tenkovi na Sommi 1916.
65	1	Bitka na Sommi (1916.) poznata je po:	Malim žrtvama	Ogromnim gubicima — jedna od najkrvavijih bitaka I. sv. rata	Brzoj pobjedi	Pomorskom sukobu	1	Više od milijun žrtava.
66	1	Opsada Sarajeva (1992.-1996.) bila je:	Kratka	Najduža opsada u modernoj povijesti rata	Samo simbolična	Samo kulturni događaj	1	1 425 dana opsade.
67	2	Mahatma Gandhi zalagao se za:	Nasilje	Nenasilni otpor i indijsku neovisnost	Kolonijalizam	Vojnu ekspanziju	1	Indija stekla neovisnost 1947.
68	2	Mao Zedong bio je:	Japanski car	Vođa komunističke revolucije u Kini	Američki predsjednik	Francuski generał	1	NR Kina proglašena 1949.
69	1	Trijanonski ugovor (1920.) sklopio je mir s:	Njemačkom	Mađarskom	Turskom	Bugarskom	1	Mađarska izgubila 2/3 teritorija.
70	1	Što je bilo Šestosiječanjska diktatura?	Demokratske reforme	Kralj Aleksandar ukinuo ustav i uveo apsolutističku vlast 1929.	Komunistička revolucija	Napoleonov zakon	1	Preimenovao SHS u Kraljevinu Jugoslaviju.
71	2	AVNOJ (1943.) je:	Sportska organizacija	Antifašističko vijeće koje je odlučilo o federativnom ustroju Jugoslavije	Ekonomska unija	Vojni pakt	1	Drugo zasjedanje u Jajcu.
72	1	Winston Churchill bio je:	Francuski predsjednik	Britanski premijer u II. svetskom ratu	Američki general	Ruski car	1	Vodio UK kroz najteže godine.
73	1	Franklin D. Roosevelt bio je:	Britanski premijer	Američki predsjednik tijekom Depresije i II. sv. rata	Ruski vođa	Francuski general	1	New Deal — ekonomski oporavak.
74	1	Pearl Harbor napadnut je:	1939.	1940.	7. prosinca 1941.	1945.	2	Japanski napad — SAD ušao u rat.
75	2	Japansko čudo označava:	Vojnu ekspanziju	Brzi ekonomski oporavak Japana nakon rata	Prirodnu pojavu	Kulturnu revoluciju	1	Od 1950-ih Japan postaje ekonomska sila.
76	2	Kineska kulturna revolucija (1966.-1976.) bila je:	Kulturni festival	Maova kampanja protiv 'buržoaskih elemenata'	Demokratski pokret	Ekonomska reforma	1	Masovne čistke i progoni.
77	2	Pad komunizma u istočnoj Europi dogodio se:	1970-ih	1980-ih (kraj) i 1989.-1991.	2000-ih	1950-ih	1	Domino-efekt od Poljske do SSSR-a.
78	2	Lech Wałęsa bio je vođa:	Jugoslavenskog pokreta	Pokreta Solidarnost u Poljskoj	Čehoslovačkog pokreta	Mađarske revolucije	1	Sindikalni pokret — pad komunizma.
79	2	Baršunasta revolucija (1989.) zbila se u:	Poljskoj	Rumunjskoj	Čehoslovačkoj	Mađarskoj	2	Mirni pad komunizma — Václav Havel.
80	1	Što je imperij?	Mala država	Velika država koja vlada nad raznim narodima i teritorijima	Samo grad	Trgovačka organizacija	1	Npr. Rimsko, Osmansko, Britansko carstvo.
81	1	Kolonijalizam je:	Jednakost	Sustav upravljanja stranim teritorijima od strane europskih sila	Samo trgovina	Samo putovanja	1	Europske imperije dominiraju Afrikom i Azijom.
82	2	Arapsko proljeće (2010./11.) je:	Godišnje doba	Val prosvjeda i revolucija u arapskom svijetu	Turistička sezona	Kulturni festival	1	Tunis, Egipat, Libija, Sirija...
83	2	Terorizam je:	Obrana	Uporaba nasilja prema civilima za političke ciljeve	Samo ratovanje	Samo protest	1	11. rujna 2001. — napad na SAD.
84	2	11. rujna 2001. al-Qa'ida je napala:	London	Pariz	New York (WTC) i Pentagon	Tokio	2	Gotovo 3000 žrtava.
85	1	Španjolska gripa (1918.) bila je:	Blag virus	Pandemija koja je ubila 50-100 milijuna ljudi	Samo epidemija u Španjolskoj	Bakterijska bolest	1	Jedna od najsmrtonosnijih pandemija u povijesti.
86	1	Kominterna je bila:	Sportska organizacija	Međunarodna komunistička organizacija pod vodstvom SSSR-a	Humanitarna organizacija	Vojni savez	1	Osnovana 1919., raspuštena 1943.
87	2	Slobodan Milošević bio je:	Hrvatski predsjednik	Srpski predsjednik koji je promicao velikosrpsku politiku	Bosanski predsjednik	Makedonski predsjednik	1	Optužen za ratne zločine, umro u Haagu.
88	2	ICTY (Haški tribunal) osnovan je za:	Trgovinske sporove	Suđenja za ratne zločine u bivšoj Jugoslaviji	Sportska natjecanja	Ekonomske reforme	1	Osnovan 1993. rezolucijom UN-a.
89	2	Mirovna operacija Erdutski sporazum (1995.) dovela je do:	Rata	Mirne reintegracije Podunavlja u Hrvatsku	Odvajanja regije	Ratne operacije	1	Reintegracija završena 1998.
90	2	Ustav Republike Hrvatske donesen je:	25. lipnja 1991.	22. prosinca 1990.	8. listopada 1991.	1. siječnja 1992.	1	Božićni ustav — temelj hrvatske državnosti.
91	1	Bitka za Britaniju (1940.) bila je:	Kopnena bitka	Zračna bitka — RAF obranio UK od Luftwaffea	Pomorska bitka	Tenkova bitka	1	Churchill: 'Nikad nije tako malo njih dugalo tako mnogo.'
92	1	Koncentracijski logori bili su:	Odmarališta	Mjesta masovnog zatočenja i ubijanja	Vojarne	Škole	1	Auschwitz, Jasenovac — simboli zla.
93	1	Anne Frank postala je simbol:	Rata	Holokausta — njezin dnevnik svjedoči o stradanju Židova	Sporta	Glazbe	1	Skrivala se u Amsterdamu, umrla u logoru.
94	2	Godina 1968. poznata je po:	Miru u svijetu	Studentskim prosvjedima i društvenim previranjima	Početku I. sv. rata	Kraju Hladnog rata	1	Pariz, Prag, SAD — pokret za promjene.
95	2	Praško proljeće (1968.) bio je pokušaj:	Vojnog udara	Liberalizacije komunizma u Čehoslovačkoj	Ekonomske reforme	Odvajanja od Europe	1	Ugušen sovjetskom intervencijom.
96	2	Čovjekova prava definirana su u:	Versajskom miru	Općoj deklaraciji o ljudskim pravima (UN, 1948.)	Bečkom kongresu	Trijanonskom ugovoru	1	30 članaka — temelj modernih sloboda.
97	2	Hrvatska je ušla u EU:	2004.	2007.	2013.	2020.	2	1. srpnja 2013.
98	2	Hrvatska je ušla u NATO:	2004.	2009.	2013.	2019.	1	1. travnja 2009.
99	1	Što znači totalitarizam?	Demokracija	Sustav u kojem država kontrolira sve aspekte života	Anarhija	Monarhija	1	Fašizam, nacizam, komunizam — primjeri.
100	2	Povijest 8. razreda uči nas:	Samo datume	O 20. stoljeću — ratovima, ideologijama, slobodama i borbi za mir	Samo o drevnim civilizacijama	Samo o Hrvatskoj	1	Razumijevanje prošlosti ključ je bolje budućnosti!
