ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
126	1	Ako otpornik ima trake: smeđa, crna, crvena — otpor je:	100 Ω	1 kΩ	10 kΩ	10 Ω	1	Smeđa=1, Crna=0, Crvena=*100 → 10 * 100 = 1000 Ω = 1 kΩ.
127	1	Snaga uređaja je 2000 W. To je:	0,2 kW	20 kW	2 kW	200 kW	2	2000 W = 2 kW.
128	1	Koja je razlika između vodiča i izolatora?	Boja	Broj slobodnih elektrona	Masa	Temperatura	1	Vodiči imaju mnogo slobodnih elektrona.
129	2	Električna struja u tekućinama prenosi se pomoću:	Fotona	Iona	Neutrona	Magneta	1	Kationi idu prema katodi, anioni prema anodi.
130	2	Galvanizacija je:	Punjenje baterije	Prevlačenje metala tankim slojem drugog metala	Proizvodnja struje	Mjerenje otpora	1	Npr. kromiranje ili cinčanje.
131	1	Schematski simbol za otpornik je:	Kružić	Pravokutnik ili cik-cak linija	Strelica	Trokut	1	Europski standard koristi pravokutnik.
132	1	Žarulja s volframovom niti pretvara električnu energiju u:	Samo toplinu	Zvuk	Magnetizam	Svjetlost i toplinu	3	Većina energije odlazi u toplinu.
133	2	Valna duljina vidljive svjetlosti je između:	1 m i 10 m	380 nm i 750 nm	1 cm i 10 cm	1 mm i 10 mm	1	Nanometri — od ljubičaste do crvene.
134	2	Crvena svjetlost ima valnu duljinu:	Kraću od plave	Jednaku zelenoj	Dulju od plave	Dulju od infracrvene	2	Crvena ≈ 700 nm, plava ≈ 450 nm.
135	2	Opći oblik Snellovog zakona loma: n1 * sin(α) = ?	n1 * cos(α)	n2 * sin(β)	n2 * cos(β)	n2 / sin(β)	1	Zakon loma svjetlosti: n1 * sin(α) = n2 * sin(β).
136	1	Koliki napon treba za struju od 0,5 A kroz otpor 100 Ω?	200 V	0,005 V	50 V	500 V	2	U = I * R = 0,5 * 100 = 50 V.
137	1	Unutarnji otpor baterije uzrokuje:	Pojačanje struje	Pad napona pod opterećenjem	Povećanje napona	Magnetizaciju	1	Dio napona se 'izgubi' na unutarnjem otporu.
138	2	Polarizacija svjetlosti znači:	Stvaranje magnetskog polja	Titranje u samo jednoj ravnini	Ubrzavanje svjetlosti	Promjena boje	1	Polarizirane sunčane naočale filtriraju refleksiju.
139	2	Stroboskopski efekt nastaje zbog:	Sporog zvuka	Brzo ponavljanih bljeskova svjetlosti	Gravitacije	Magnetizma	1	Pokret se čini usporenim ili zaustavljenim.
140	1	Formula za energiju kondenzatora: E = ?	E = 1 / 2 * C * U^2	E = C * U	E = U / C	E = C^2 * U	0	Energija pohranjena u kondenzatoru.
141	1	Kondenzator služi za:	Trajnu pohranu energije	Privremeno pohranjivanje naboja	Proizvodnju struje	Mjerenje temperature	1	Pohranjuje naboj između dvije ploče.
142	1	Mjerna jedinica za kapacitivnost kondenzatora je:	Farad (F)	Henri (H)	Ohm (Ω)	Kulon (C)	0	1 F = 1 C / 1 V.
143	2	Koji učinak struje koristi grijač?	Kemijski učinak	Mehanički učinak	Magnetski učinak	Toplinski učinak	3	Struja prolazi kroz otpornički element i grije ga.
144	2	Koji učinak struje koristi zvono?	Toplinski	Magnetski	Svjetlosni	Kemijski	1	Elektromagnet privlači zvečku.
145	1	Statički elektricitet se brže nakuplja u:	Vlažnom zraku	Vodičima	Tekućinama	Suhom zraku	3	Vlaga pomaže odvođenju naboja.
146	2	Elektromagnetski spektar (od najmanje do najveće f):	Radio, mikro, IR, vidljivo, UV, X, gama	Gama, X, UV, vidljivo, IR, mikro, radio	Vidljivo, UV, radio, gama, X, IR, mikro	IR, radio, vidljivo, UV, X, mikro, gama	0	Od najdulje valne duljine (radio) do najkraće (gama).
147	2	Laser daje svjetlost koja je:	Kaotična	Koherentna (jednobojni, usmjereni snop)	Bijela	Nevidljiva	1	Light Amplification by Stimulated Emission of Radiation.
148	1	Koliko baterija od 1,5 V treba serijski spojiti za 9 V?	3	9	6	12	2	6 * 1,5 = 9 V.
149	1	Štopericom mjeriš koliko dugo žarulja od 60 W svijetli 5 min. Koliko je energije potrošila?	300 J	12 J	18000 J	60 J	2	E = P * t = 60 * 300 s = 18 000 J.
150	2	Optička gustoća medija određuje:	Masu medija	Koliko se svjetlost usporava u mediju	Boju medija	Temperaturu medija	1	Veća optička gustoća = manji kut loma.
151	1	Faradayev kavez štiti od:	Zvuka	Gravitacije	Vanjskog električnog polja	Topline	2	Metalna mreža odvodi naboj i štiti unutrašnjost.
152	1	Koji uređaj koristi toplinski učinak struje?	Mikrofon	Glačalo	Motor	Zvučnik	1	Grijač u glačalu se grije prolaskom struje.
153	2	Interferencija valova nastaje:	Kad se dva vala preklapaju	Kad val nestane	Kad val ubrza	Kad val stane	0	Konstruktivna (pojačanje) ili destruktivna (poništenje).
154	2	Konstruktivna interferencija pojačava val kada:	Valovi su u protufazi	Jedan val nestane	Valovi su u fazi	Nema drugog vala	2	Brijegovi se poklapaju s brijegovima.
155	1	Koliko je 1 MΩ u ohmima?	1000 Ω	1 000 000 Ω	100 Ω	10 000 Ω	1	Mega = milijun.
156	1	Električno polje opisujemo silnicama koje idu:	Od - prema +	U krug	Od + prema -	Bez smjera	2	Dogovor: silnice idu od pozitivnog prema negativnom naboju.
157	2	Energija fotona ovisi o:	Masi	Boji svjetlosti (frekvenciji)	Temperaturi	Gustoći medija	1	E = h * f (Planckova konstanta * frekvencija).
158	2	Fotoelektrični efekt pokazuje da je svjetlost:	Samo val	Vrsta zvuka	I čestica (foton)	Samo toplina	2	Einstein je za to dobio Nobelovu nagradu.
159	1	R-I grafikon vodiča koji poštuje Ohmov zakon je:	Krivulja	Pravac kroz ishodište	Kružnica	Parabola	1	U = R * I je linearna veza.
160	2	Nuklearna energija proizvodi se:	Sagorijevanjem	Fisijom ili fuzijom atomskih jezgri	Magnetizmom	Zvukom	1	Nuklearne elektrane koriste fisiju urana.
161	1	Električni krug mora biti:	Otvoren	Zatvoren (neprekidna petlja)	Prekinut	Bez izvora	1	Struja teče samo u zatvorenom krugu.
162	1	Prekidač u strujnom krugu služi za:	Mjerenje struje	Otvaranje i zatvaranje kruga	Pojačavanje napona	Smanjenje otpora	1	Mehanički prekida ili uspostavlja tok struje.
163	2	Electromagnet se razlikuje od permanentnog magneta jer:	Je jači	Može se uključiti i isključiti	Je manji	Je skuplji	1	Prestaje djelovati kad prestane teći struja.
164	2	Sfera primjene ultrazvuka u medicini:	Rendgen	Dijagnostika (npr. UZV trudnoće)	EKG	CT	1	Odbijanje ultrazvuka od tkiva stvara sliku.
165	1	Formula: I = Q / t. Ako prođe 10 C u 5 s, I je:	50 A	5 A	2 A	15 A	2	I = 10 / 5 = 2 A.
166	1	Napon se također naziva:	Jakost	Otpor	Elektromotorna sila (EMS)	Frekvencija	2	EMS je napon koji daje izvor energije.
167	2	Koliko boja sadrži bijela svjetlost?	3	Beskonačno mnogo (kontinuirani spektar)	7	1	1	Bijela svjetlost sadrži sve boje vidljivog spektra.
168	2	Aditivno miješanje boja: crvena + zelena + plava = ?	Crna	Žuta	Ružičasta	Bijela	3	RGB model daje bijelu kad su sve maksimalne.
169	1	Čemu služi FID prekidač?	Pojačavanju signala	Zaštiti od strujnog udara (diferencijalna zaštita)	Mjerenju napona	Grijanju	1	Detektira razliku ulazne i izlazne struje.
170	1	Akumulator se od baterije razlikuje jer:	Je veći	Može se puniti	Proizvodi napon	Je lakši	1	Akumulator je punjiva baterija.
171	2	Energija vjetra se pretvara u struju pomoću:	Solarne ploče	Vjetroturbine (vjetroelektrana)	Baterije	Hidrocentrala	1	Lopatice pokreću generator.
172	2	Elektromagnetski val putuje brzinom:	Zvuka	10 km/s	Svjetlosti (c)	100 m/s	2	Svi EM valovi putuju brzinom c u vakuumu.
173	1	Munja je primjer:	Magnetizma	Statičkog pražnjenja (električki izboj)	Nuklearne energije	Zvuka	1	Ogromna razlika naboja između oblaka i tla.
174	1	Gromobran štiti zgrade tako da:	Odbija munje	Provodi munju sigurno u zemlju	Neutralizira oblake	Stvara magnetsko polje	1	Metalni vodič odvodi struju u uzemljenje.
175	2	Fotosinteza koristi koju vrstu energije?	Kinetičku	Zvučnu	Svjetlosnu	Magnetsku	2	Biljke pretvaraju svjetlost u kemijsku energiju.
176	2	Jednadžba leće: 1 / f = ?	1 / u + 1 / v	u + v	u * v	1 / u - 1 / v	0	Veza žarišne duljine, udaljenosti predmeta i slike.
177	2	Uvećanje leće M = ?	v / u	u / v	f * u	u + v	0	Omjer udaljenosti slike i predmeta.
178	1	Wattmetar mjeri:	Napon	Otpor	Snagu	Naboj	2	Kombinira mjerenje struje i napona.
179	2	Stojni val nastaje:	Kad val putuje bez prepreke	Superponiranjem dvaju valova koji putuju u suprotnim smjerovima	Kad val nestane	Kad se val ubrza	1	Čvorovi miruju, trbusi maksimalno titraju.
180	1	Ako u paralelnom spoju dodate još jedan otpornik:	Ukupni otpor raste	Ukupni otpor pada	Ukupni otpor ostaje isti	Struja pada na nulu	1	Više paralelnih grana = manji ukupni otpor.
181	1	Učinkovitost (η) uređaja definiramo kao:	η = P_ulaz / P_izlaz	η = P_korisna / P_ukupna	η = P_gubitak / P_ukupna	η = P * t	1	Omjer korisne i ukupne energije/snage.
182	2	Čemu služi dinamički mikrofon?	Pretvaranju zvuka u električni signal	Pretvaranju struje u zvuk	Mjerenju temperature	Proizvodnji magneta	0	Membrana vibrira i pokreće zavojnicu u magnetskom polju.
183	2	Zvučnik pretvara:	Zvuk u struju	Svjetlost u zvuk	Električni signal u zvuk	Toplinu u zvuk	2	Obrnuto od mikrofona.
184	1	Otpor vodiča raste s:	Povećanjem presjeka	Smanjenjem duljine	Povećanjem temperature (kod metala)	Hlađenjem	2	Zagrijavanjem se atomi više gibaju i ometaju elektrone.
185	2	Koji znanstvenik je otkrio elektromagnetsku indukciju?	Newton	Faraday	Einstein	Ohm	1	Michael Faraday, 1831.
186	2	Koji učinak struje koristi elektroliza?	Toplinski	Svjetlosni	Kemijski	Magnetski	2	Struja rastavlja spojeve na ione.
187	1	Koliko je 500 mA u amperima?	5 A	50 A	0,5 A	0,05 A	2	500 * 0,001 = 0,5 A.
188	2	Kakav je zvuk frekvencije 20 000 Hz?	Infra zvuk	Ultrazvuk	Na granici čujnosti	Nečujan	2	Gornja granica ljudskog sluha.
189	1	Naboj se mjeri u:	Voltima	Amperima	Kulonima	Ohmima	2	Kulon (C).
190	2	Obrnuta strana leće daje:	Uvijek virtualnu sliku	Uvijek realnu sliku	Ovisno o položaju predmeta — realnu ili virtualnu	Nijednu sliku	2	Položaji ispred i iza žarišta daju različite slike.
191	1	Vatrogasni aparat za električne požare koristi:	Vodu	Pjenu	CO2 (ugljikov dioksid) ili prah	Pijesak	2	Voda vodi struju i opasna je za električne požare.
192	2	Polarizacijske naočale smanjuju:	UV zrake	Refleksiju i bljesak	Infracrveno zračenje	Zvuk	1	Filtriraju horizontalno polarizirano svjetlo.
193	1	Električni otpor se povećava ako:	Vodič je kraći	Vodič je deblji	Vodič je dulji i tanji	Temperatura pada (kod metala)	2	R = ρ * l / A: veća duljina i manji presjek.
194	2	Huygeensov princip opisuje:	Svaka točka valne fronte je izvor novog vala	Gravitaciju	Termodinamiku	Otpor vodiča	0	Temelj valne optike.
195	1	Toplinsko širenje vodiča kod zagrijavanja može uzrokovati:	Smanjenje otpora	Povećanje otpora	Promjenu mase	Magnetizaciju	1	Toplina povećava vibracije atoma i otpor metala.
196	2	Oko funkcionira slično:	Mikroskopu	Teleskopu	Kameri (leća + mrežnica kao senzor)	Radiju	2	Leća fokusira sliku na mrežnicu.
197	1	Elektromotorna sila (EMS) baterije nije jednaka naponu na polovima jer:	Nema gubitaka	Postoji unutarnji otpor baterije	Baterija je beskonačna	Napon ne ovisi o struji	1	U = EMS - I * r_unutarnji.
198	2	Termoelektrični efekt znači:	Zvuk stvara toplinu	Razlika temperature dviju žica stvara napon	Magnet hladi	Svjetlost grije	1	Seebeckov efekt — osnova termočlanka.
199	2	Piezoelektrični efekt znači:	Struja magnetizira	Deformacija kristala stvara napon	Zvuk stvara svijetlost	Toplina stvara magnet	1	Koristi se u kvarcnim satovima i upaljačima.
200	2	Fizika elektriciteta, magnetizma, valova i optike pomaže nam:	Samo na ispitu	Razumjeti modernu tehnologiju i svakodnevni život	Samo u laboratoriju	Samo u svemiru	1	Od mobitela i interneta do medicine — fizika je svugdje!
