ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
153	2	Country glazba potječe iz:	Europe	Ruralne Amerike (Jug SAD-a)	Azije	Afrike	1	Johnny Cash, Dolly Parton, Taylor Swift.
154	2	Flamenco je:	Brazilski	Španjolski glazbeno-plesni žanr	Talijanski	Francuski	1	Gitara, ritam, ples — Andaluzija.
155	2	Bossa nova potječe iz:	Argentine	Brazila	Meksika	Portugala	1	Jobim, Gilberto — samba + jazz.
156	1	Enharmonski ton znači:	Različit ton	Isti ton s različitim imenom (C# = Db)	Samo dur	Samo mol	1	Na klaviru — ista tipka.
157	1	Transpozicija u glazbi je:	Promjena ritma	Premještanje melodije u drugi tonalitet	Promjena tempa	Promjena dinamike	1	Npr. iz C-dura u G-dur.
158	2	Lo-fi glazba karakterizira:	Savršena produkcija	Namjerno nesavršeran zvuk za opuštenu atmosferu	Samo glasni zvukovi	Samo klasika	1	Popularna za učenje i opuštanje.
159	2	Cilj glazbe u videograma:	Samo pozadinski šum	Stvaranje atmosfere i reakcije na akcije igrača	Samo reklama	Nema cilja	1	Interaktivna, adaptivna glazba.
160	1	Pauza u glazbi:	Samo greška	Tišina određenog trajanja — jednako važna kao ton	Samo za bubnjeve	Niet bitna	1	Cijela, polovinska, četvrtinska, osminska pauza.
161	1	Da capo (D.C.) znači:	Kraj	Od početka (ponovno)	Brže	Tiše	1	D.C. al Fine = od početka do oznake Fine.
162	1	Dal segno (D.S.) znači:	Od kraja	Od znaka (§) ponovo	Brže	Glasnije	1	Navigacijski znakovi u notnom tekstu.
163	2	Leitmotiv je:	Samo melodija	Kratki glazbeni motiv povezan s likom, situacijom ili idejom	Samo ritam	Samo akord	1	Wagner — operni leitmotivi. Star Wars teme.
164	2	Tonski slikanje (tone painting) je:	Samo crtanje	Korištenje glazbe da dočara nemuzičke ideje (kiša, ptica)	Samo boja	Samo tonalitet	1	Vivaldi: Četiri godišnja doba — zvukovi prirode.
165	2	Disharmonija/disonanca u glazbi:	Uvijek negativna	Napetost koja se obično razrješava u konsonancu	Samo greška	Samo u modernoj	1	Disonanca stvara napetost, konsonanca mir.
166	1	Čajkovskijev Orašar je:	Opera	Balet	Simfonija	Koncert	1	Ples šećerne vile — božićni klasik.
167	1	Rossinijev Wilhelm Tell poznait je po:	Ariji	Uvertiri (galop na kraju)	Baletu	Zboru	1	Jedna od najpoznatijih uvertira ikada.
168	2	Freddie Mercury bio je:	Klasični kompozitor	Frontman benda Queen	Jazz trubač	DJ	1	Bohemian Rhapsody, We Will Rock You.
169	2	Michael Jackson nazivan je:	Kralj rocka	Kralj popa	Kralj jazza	Kralj bluesa	1	Thriller, Billie Jean, Beat It.
170	2	David Bowie bio je poznat po:	Samo jednom žanru	Stalnom glazbenom i vizualnom reinventiranju	Samo klasici	Samo jazzu	1	Ziggy Stardust, Space Oddity, Changes.
171	1	Tko svira solo u koncertu (concerto)?	Zbor	Solist uz pratnju orkestra	Samo dirigent	Samo prvi violinist	1	Klavirski koncert, violinski koncert.
172	1	Simfonijski orkestar obično ima:	10-20 glazbenika	60-100+ glazbenika	200 glazbenika	5 glazbenika	1	Veliki ansambl za klasičnu glazbu.
173	2	Jimi Hendrix bio je:	Klasični pijanist	Legendarni rock gitarist	Jazz saxofonist	Blues harmoničar	1	Purple Haze, Voodoo Child.
174	2	Bob Dylan je dobio Nobelovu nagradu za:	Fiziku	Književnost (za tekstove pjesama)	Mir	Kemiju	1	2016. — za poetske izraze u pjesničkoj tradiciji.
175	1	Marš je glazbena forma za:	Ples	Hodanje/koračanje u pravilnom ritmu	Pjevanje	Meditaciju	1	Vojni maršen, svečani marševi.
176	1	Valcer je:	Ples u 4/4 mjeri	Ples u 3/4 mjeri	Ples u 2/4 mjeri	Ples u 6/8 mjeri	1	Strauss — Na lijkepom plavom Dunavu.
177	2	Polka je:	Lagani ples	Brz ples u 2/4 mjeri	Spori ples	Ples u 3/4 mjeri	1	Češkog podrijetla — vesela, brza.
178	2	Slavonsko kolo je:	Solo ples	Tradicionalni narodni grupni ples	Balet	Modereni ples	1	Dio hrvatske nematerijalne kulturne baštine.
179	1	Crescendo od pp do ff stvara:	Monotoniju	Dramatičan uspon glasnoće — veliki kontrast	Tišinu	Smanjnje	1	Ravel: Bolero — najpoznatiji dugi crescendo.
180	2	Glissando je:	Pauza	Klizanje između dva tona	Samo akord	Samo pauza	1	Na klaviru — klizanjeac po tipkama.
181	1	Metronom se koristi za:	Mjerenje glasnoće	Održavanje stalnog tempa pri vježbanju	Mjerenje visine	Snimanje	1	BPM — otkucaji u minuti.
182	1	BPM znači:	Beats Per Mile	Beats Per Minute (otkucaji u minuti)	Bass Per Measure	Bars Per Music	1	Mjera tempa.
183	2	Glazbeni producent:	Samo svira	Vodi proces snimanja, oblikuje zvuk i viziju albuma	Samo pjeva	Samo piše tekstove	1	Quincy Jones, Rick Rubin, Max Martin.
184	2	Akustika proučava:	Samo svjetlo	Zvuk — nastanak, prijenos i percepciju	Samo boje	Samo pokret	1	Važna za koncertne dvorane i studije.
185	1	Rezonancija u glazbi:	Samo tišina	Pojačanje zvuka tijelom instrumenta ili prostora	Samo masa	Samo boja	1	Tijelo gitare rezonira i pojačava zvuk.
186	2	Karaoke znači:	Prazan orkestar (japanski)	Pjevanje uz instrumentalnu podlogu bez vokalnog originala	Samo u Japanu	Samo za profesionalce	1	Kara (prazan) + oke (orkestar).
187	2	Cover verzija je:	Plagijat	Novo izvođenje postojeće pjesme od drugog izvođača	Original	Remix	1	Legalno uz licenciju — nova interpretacija.
188	2	Remix je:	Original	Preuređena verzija postojeće snimke	Cover	Plagijat	1	DJ prerađuje postojeću pjesmu.
189	1	Koja je razlika između ritma i metra?	Nema razlike	Metar je pravilna shema, ritam je slobodniji raspored trajanja	Samo tempo	Samo glasnoća	1	Metar = okvir, ritam = sadržaj unutar okvira.
190	2	Muzikologija je:	Samo sviranje	Znanost o glazbi	Samo pjevanje	Samo skladanje	1	Proučava povijest, teoriju i kulturu glazbe.
191	1	Notni crtovlje (notne linije) ima:	4 linije	5 linija	6 linija	3 linije	1	5 linija, 4 praznine.
192	1	Pjevačka tehnika 'bel canto' znači:	Ružan glas	Lijepo pjevanje (talijanska operska tehnika)	Glasno sviranje	Tiho pjevanje	1	Rossini, Bellini, Donizetti.
193	2	Glazba i emocije:	Nema veze	Glazba izravno utječe na raspoloženje i emocije	Samo pozitivne	Samo negativne	1	Radost, tuga, sjeta, uzbuđenje.
194	2	Glazba i matematika:	Nema veze	Dijele zajedničke strukture (proporcije, uzorci, ritam)	Samo brojevi	Samo geometrija	1	Pitagora — matematičke osnove glazbe.
195	1	Solfeggio (solmizacija) koristi:	Samo brojeve	Do, Re, Mi, Fa, Sol, La, Si za imenovanje tonova	Samo slova	Samo simbole	1	Metoda za učenje intonacije.
196	2	Absolute pitch (apsolutni sluh) je:	Čest	Rijetka sposobnost označavanja tona bez referentnog tona	Nemoguć	Samo kod djece	1	Mozart je imao apsolutni sluh.
197	1	Pratnja u pop/rock bendu obično uključuje:	Samo violinu	Gitaru, bas gitaru, bubnjeve, (klavir/tipke)	Samo harfu	Samo flautu	1	Osnovna postava rock/pop benda.
198	2	Spotify, Apple Music i YouTube Music su:	Radio stanice	Streaming platforme za glazbu	Samo video platforme	Samo podcast platforme	1	Digitalna distribucija glazbe.
199	1	Važnost sviranje instrumenta za mlade:	Nije bitno	Razvija motoriku, koncentraciju, kreativnost i disciplinu	Samo za profesionalce	Samo za zabavu	1	Dokazani pozitivni učinci na mozak.
200	2	Glazbena kultura u 8. razredu pomaže:	Samo za ocjene	Razumjeti, cijeniti i aktivno sudjelovati u glazbenom svijetu	Samo za zabavu	Nema koristi	1	Glazba povezuje ljude i kulture!
